施設分類,自治体名,施設名称,電話番号,郵便番号,所在地,開館時間,休館日,入館料,geo33
教育・文化,越前市,越前打刃物会館,0778-24-1200,915-0873,越前市池ノ上町49-1-3,【平日】8：30-17：00　【日・祭日】9:30-16:00,年末・年始（12月29日-1月3日）,,E913849842568747
教育・文化,越前市,タケフナイフビレッジ,0778-27-7120,915-0031,越前市余川町22-91,9:00-17：00,年末・年始,,E913849946854947
教育・文化,越前市,越前打刃物振興施設,0778-22-1241,915-0873,越前市池ノ上町 48-6-1,9:00-17：00,火曜/年末・年始（12月29日-1月3日）,,E913849842566967
教育・文化,越前市,越前和紙の里美術館,0778-43-5975,915-0232,越前市新在家町11-13-1,9:30-17:00（入館は16:30まで）,火曜（祝日の場合は営業）/年末・年始,一般800円,E913849984285621
教育・文化,越前市,八ツ杉千年の森,0778-42-3800,915-0225,越前市別印町19-1-1,9:00-16:30,火曜/第3日曜※12月1日-3月31日まで閉館,要問合せ,E913857745765856
教育・文化,越前市,白山いこい館,0778-28-1400,915-1204,越前市都辺町36-84　,9：00-17:00,年末・年始,,E913849744945926
教育・文化,越前市,金華山グリーンランド,0778-28-1149,915-1212,越前市米口町58-25,4月1日-11月15日 9:00-17:00,水曜,要問合せ,E913849717653968
教育・文化,越前市,エコビレッジ交流センター,0778-28-1123,915-1225,越前市湯谷町25-25-2,9:00-22:00,月曜（祝日の場合その翌日） ,,E913849725743813
教育・文化,越前市,越前市武生中央公園,0778-42-7530,915-0832,越前市高瀬2丁目,「たけふ菊人形期間中」9：00-17：00,,,E913849873329135
教育・文化,越前市,蔵の辻,0778-22-3012,915-0074,越前市蓬莱町,,,,E913849881619151
教育・文化,越前市,紫式部公園,0778-22-3012,915-0847,越前市東千福町20,,,,E913849849325913
教育・文化,越前市,花筐公園,0778-42-3710,915-0242,越前市粟田部町17-20,,,,E913849979522397
教育・文化,越前市,小次郎公園,0778-22-3012,915-0219,越前市北坂下町5-23,,,,E913849997485764
教育・文化,越前市,ふるさとを偲ぶ散歩道,0778-22-3007　(越前市商業・観光振興課),915-0847,越前市東千福町,,,,E913849849337328
教育・文化,越前市,武生公会堂記念館,0778-21-3900,915-0074,越前市蓬莱町8-8,10:00-18:00(入館は/17:30まで）,月曜（祝日を除く）/祝日の翌日（土曜日・日曜日を除く）/年末・年始 ,,E913849882411176
教育・文化,越前市,いまだて芸術館,0778-42-2700,915-0242,越前市粟田部町11-1-1,9:00-22:00（展示等は/18:00まで）,年末・年始,,E913849987269736
教育・文化,越前市,ギャラリー叔羅,0778-23-5811,915-0847,越前市東千福町17-17,10:00-18:00（入館は17：30まで）,月曜/国民の祝日の翌日/年末・年始,,E913849846999111
教育・文化,越前市,越前市中央図書館,0778-22-0354,915-0832 ,越前市高瀬2丁目7-24,9:30-18:00（水・木・金曜は/19:00まで）,月曜（祝日を除く）/館内整理日（毎月第1木曜。ただし祝日を除く）/ 年末・年始/特別整理休館日,,E913849873336628
教育・文化,越前市,越前市今立図書館,0778-43-0229,915-0231,越前市定友町21-3-1,9:30-18:00（金曜は/19:00まで）,月曜/祝日/館内整理日（毎月第4木曜）/特別整理休館日,,E913849987296145
教育・文化,越前市,かこさとし　ふるさと絵本館「石石（らく）」,0778-21-2019,915-0832 ,越前市高瀬1丁目14番7号,10:00-18:00,火曜/国民の祝日の翌平日/年末・年始/展示替え休館日,,E913849849916293
教育・文化,越前市,武生東公民館,0778-23-4763,915-0071,越前市府中1丁目13-15,9:00-20:00,月曜/祝日/年末・年始,,E913849882484168
教育・文化,越前市,武生西公民館,0778-23-4635,915-0814,越前市中央2丁目5-35,9:00-20:00,月曜/祝日/年末・年始,,E913849873615498
教育・文化,越前市,武生南公民館,0778-23-5103,915-0824,越前市武生柳町12-27,9:00-20:00,月曜/祝日/年末・年始,,E913849857589647
教育・文化,越前市,神山公民館,0778-23-8010,915-0872,越前市広瀬町102-55-2,9:00-20:00,月曜/祝日/年末・年始,,E913849844576738
教育・文化,越前市,吉野公民館,0778-23-4600,915-0806,越前市本保町19-6,9:00-20:00,月曜/祝日/年末・年始,,E913873213334517
教育・文化,越前市,国高公民館,0778-23-4601,915-0082,越前市国高2丁目324-13,9:00-20:00,月曜/祝日/年末・年始,,E913849894514882
教育・文化,越前市,大虫公民館,0778-23-3508,915-0894,越前市丹生郷町13-20-1,9:00-20:00,月曜/祝日/年末・年始,,E913849875113119
教育・文化,越前市,坂口公民館,0778-28-1046,915-1225,越前市湯谷町24-18-1,9:00-20:00,月曜/祝日/年末・年始,,E913849725751195
教育・文化,越前市,王子保公民館,0778-23-9666,915-0857,越前市四郎丸町65-2-1,9:00-20:00,月曜/祝日/年末・年始,,E913849828475591
教育・文化,越前市,北新庄公民館,0778-23-4604,915-0004,越前市北町54-25,9:00-20:00,月曜/祝日/年末・年始,,E913849896671456
教育・文化,越前市,北日野公民館,0778-23-4603,915-0052,越前市矢放町21-11,9:00-20:00,月曜/祝日/年末・年始,,E913849867131782
教育・文化,越前市,味真野公民館,0778-27-1220,915-0025,越前市味真野町7-2-1,9:00-20:00,月曜/祝日/年末・年始,,E913849945841867
教育・文化,越前市,白山公民館,0778-28-1045,915-1204,越前市都辺町36-84,9:00-20:00,月曜/祝日/年末・年始,,E913849744944998
教育・文化,越前市,花筐公民館,0778-42-0361,915-0242,越前市粟田部町41-11-1,9:00-20:00,月曜/祝日/年末・年始,,E913849976932929
教育・文化,越前市,岡本公民館,0778-42-1438,915-0231,越前市定友町10-2-2,9:00-20:00,月曜/祝日/年末・年始,,E913849984812425
教育・文化,越前市,南中山公民館,0778-43-1290,915-0252,越前市西庄境町21-7-1,9:00-20:00,月曜/祝日/年末・年始,,E913873321612595
教育・文化,越前市,服間公民館,0778-43-0977,915-0209,越前市藤木町12-39-1,9:00-20:00,月曜/祝日/年末・年始,,E913873323887151
教育・文化,越前市,上太田保育園,0778-22-0065,915-0882 ,越前市上太田町11-2,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849873181334
教育・文化,越前市,認定こども園北日野,0778-22-1772,915-0052 ,越前市矢放町16-4,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849864784765
教育・文化,越前市,認定こども園北新庄,0778-22-1974,915-0004 ,越前市北町38-6,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849896821825
教育・文化,越前市,家久保育園,0778-24-1244,915-0801,越前市家久町94-2-1,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849887689114
教育・文化,越前市,なかよし保育園,0778-23-8024,915-0832 ,越前市高瀬2丁目4-14,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849881126738
教育・文化,越前市,認定こども園岡本,0778-42-0435,915-0233 ,越前市岩本町5-26,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849984218395
教育・文化,越前市,認定こども園南中山,0778-42-0325,915-0253 ,越前市中津山町41-13-2,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913873321525733
教育・文化,越前市,認定こども園服間,0778-42-1029,915-0209 ,越前市藤木町12-34,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913873326224611
教育・文化,越前市,二葉保育園,0778-27-1328,915-0026,越前市五分市町3-6-1,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849948258973
教育・文化,越前市,浪花認定こども園,0778-22-7019,915-0071 ,越前市府中3丁目5-12,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849882775847
教育・文化,越前市,安養寺こども園,0778-28-1741,915-1201 ,越前市安養寺町89-29-1,7:30-16:30,土曜/日曜/祝日/年末・年始,,E913849784443877
教育・文化,越前市,わかたけ認定こども園,0778-22-6203,915-0888 ,越前市高森町18-7-2,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849872861431
教育・文化,越前市,そよかぜ認定こども園,0778-24-0340,915-0091 ,越前市高木町12-7-1,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913873231273835
教育・文化,越前市,南保育園,0778-22-3214,915-0063 ,越前市若竹町12-23,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849857629342
教育・文化,越前市,認定東こども園,0778-22-6637,915-0061,越前市堀川町3-14,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849882285972
教育・文化,越前市,認定西こども園,0778-22-7151,915-0804 ,越前市新保町32-10,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849873786795
教育・文化,越前市,国高保育園,0778-23-0983,915-0084 ,越前市村国1丁目9-8,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849883895288
教育・文化,越前市,高瀬保育園,0778-23-5203,915-0841 ,越前市文京2丁目4-3,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849857483695
教育・文化,越前市,愛星認定こども園,0778-24-4450,915-0876 ,越前市白崎町33-2-1,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849818371787
教育・文化,越前市,たんぽぽ認定こども園,0778-24-4460,915-0842 ,越前市常久町101,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849854597932
教育・文化,越前市,味真野保育園,0778-27-2203,915-0024 ,越前市上大坪町28-3,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849945575949
教育・文化,越前市,神山認定こども園,0778-23-8688,915-0872 ,越前市広瀬町132-3-1,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849848124358
教育・文化,越前市,認定こども園あわたべ,0778-42-0493,915-0242 ,越前市粟田部町46-2,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849976694858
教育・文化,越前市,認定こども園里山ほのか学園,0778-23-0030,915-0892,越前市氷坂町14-2-1,7:00-18:00,土曜/日曜/祝日/年末・年始,,E913849879784361
教育・文化,越前市,武生西幼稚園,0778-22-0566, 915-0814 ,越前市中央2丁目2-13,8:00-14:30,土曜/日曜/祝日/年末・年始,,E913849873661116
教育・文化,越前市,吉野幼稚園,0778-22-5541,915-0806 ,越前市本保町19-9-1,8:00-14:30,土曜/日曜/祝日/年末・年始,,E913849879995878
教育・文化,越前市,国高幼稚園,0778-22-4555,915-0082 ,越前市国高2丁目319-3,8:00-14:30,土曜/日曜/祝日/年末・年始,,E913849894445884
教育・文化,越前市,坂口幼稚園,0778-28-1008,915-1225 ,越前市湯谷町24-25,8:00-14:30,土曜/日曜/祝日/年末・年始,,E913849725713349
教育・文化,越前市,丈生幼稚園,0778-22-0625,915-0813 ,越前市京町3丁目3-5,8:00-15:00,土曜/日曜/祝日/年末・年始,,E913849881469623
教育・文化,越前市,丈生神山幼稚園,0778-22-1397,915-0845 ,越前市三ツ口町45,8:00-15:00,土曜/日曜/祝日/年末・年始,,E913849846966841
教育・文化,越前市,恩恵幼稚園,0778-23-4720, 915-0067 ,越前市住吉町3-29,8:00-15:00,土曜/日曜/祝日/年末・年始,,E913849882116485
教育・文化,越前市,ひかり幼稚園,0778-22-3255,915-0805 ,越前市芝原4丁目1-30,8:00-15:00,土曜/日曜/祝日/年末・年始,,E913849887182416
教育・文化,越前市,武生東小学校,0778-22-0367,915-0076,越前市国府2丁目9-12,,,,E913849885117836
教育・文化,越前市,武生西小学校,0778-22-0408,915-0814,越前市中央2丁目2-13,,,,E913849873661116
教育・文化,越前市,武生南小学校,0778-22-0366,915-0824,越前市武生柳町１3-20,,,,E913849857559934
教育・文化,越前市,神山小学校,0778-22-1104,915-0872,越前市広瀬町102-43,,,,E913849844584632
教育・文化,越前市,吉野小学校,0778-22-0192,915-0806,越前市本保町17-1,,,,E913849879987597
教育・文化,越前市,国高小学校,0778-22-1045,915-0082,越前市国高1丁目15-5,,,,E913849886665773
教育・文化,越前市,大虫小学校,0778-22-1109,915-0888,越前市高森町14-15,,,,E913849872754741
教育・文化,越前市,坂口小学校,0778-28-1808,915-1225,越前市湯谷町24-25,,,,E913849725713394
教育・文化,越前市,王子保小学校,0778-22-1293,915-0861 ,越前市今宿町5-14,,,,E913849827662522
教育・文化,越前市,北日野小学校,0778-22-1095,915-0054,越前市小野谷町2-2,,,,E913849867213613
教育・文化,越前市,北新庄小学校,0778-22-1040,915-0004,越前市北町47-6,,,,E913849896831497
教育・文化,越前市,味真野小学校,0778-27-1323,915-0023,越前市池泉町9-1,,,,E913849949143597
教育・文化,越前市,白山小学校,0778-28-1102,915-1204,越前市都辺町24-2,,,,E913849744848162
教育・文化,越前市,花筐小学校,0778-42-0045,915-0242,越前市粟田部町41-12,,,,E913849976934151
教育・文化,越前市,岡本小学校,0778-42-0101,915-0231,越前市定友町10-15,,,,E913849984846145
教育・文化,越前市,南中山小学校,0778-42-0225,915-0253,越前市中津山町38-13-2,,,,E913873321537233
教育・文化,越前市,服間小学校,0778-42-1002,915-0209,越前市藤木町12-11,,,,E913873326234319
教育・文化,越前市,武生第一中学校,0778-23-1411,915-0803,越前市平出1丁目6-1,,,,E913849876331886
教育・文化,越前市,武生第二中学校,0778-23-1422,915-0844,越前市妙法寺町42-15,,,,E913849854751347
教育・文化,越前市,武生第二中学校坂口分校,0778-28-1808,915-1225,越前市湯谷町24-25,,,,E913849725713394
教育・文化,越前市,武生第三中学校,0778-23-1433,915-0084,越前市村国2丁目3-56,,,,E913849882952389
教育・文化,越前市,万葉中学校,0778-27-1258,915-0014,越前市西尾町48-18,,,,E913849869398921
教育・文化,越前市,武生第五中学校,0778-28-1004,915-1204,越前市都辺町36-73,,,,E913849744982496
教育・文化,越前市,武生第六中学校,0778-22-1462,915-0857,越前市四郎丸町16-1,,,,E913849827417199
教育・文化,越前市,南越中学校,0778-42-1870,915-0264,越前市野岡町28-4,,,,E913873321337281
運動,越前市,逢坂山公園,,915-0264,越前市野岡町,,,,E913849987811368
運動,越前市,白崎公園,0778-22-3012,915-8530,越前市白崎町35字他,,,,E913849818171955
運動,越前市,池の上森林スポーツ林道,0778-22-3008,915-0873,越前市池ノ上町 ,,12月1日～3月31まで閉鎖,,E913849739998554
運動,越前市,みどりと自然の村太陽広場,0778-28-1119,915-1201,越前市安養寺町5-3,利用期間　3月21日-11月15日まで（冬季封鎖）レストハウス9：00-18：00　,月曜（国民の祝日を除く）/ 国民の祝日の翌日,,E913849787552768
運動,越前市,武生中央公園温水プール,0778-42-5015,915-0832,越前市高瀬二丁目9-5,,,,E913849881152678
運動,越前市,武生中央公園総合体育館（アイシンスポーツアリーナ）,0778-22-6395,915-0832,越前市高瀬二丁目8-23,,,,E913849872639573
運動,越前市,武生中央公園庭球場,0778-22-6395（総合体育館）,915-0832,越前市高瀬二丁目7-81,,,,E913849873321223
運動,越前市,武生中央公園多目的広場,0778-22-6395（総合体育館）,915-0832,越前市高瀬二丁目,,,,E913849849988228
運動,越前市,武道館,0778-22-6395（総合体育館）,915-0814,越前市中央一丁目8-15,,,,E913849873655232
運動,越前市,武生東運動公園陸上競技場,0778-23-6222（公益社団法人越前市スポーツ協会）,915-0014,越前市西尾町,,,,E913849947586464
運動,越前市,武生東運動公園庭球場,0778-23-6222（公益社団法人越前市スポーツ協会）,915-0014,越前市西尾町,,,,E913849947589548
運動,越前市,武生東運動公園ソフトボール場,0778-23-6222（公益社団法人越前市スポーツ協会）,915-0014,越前市西尾町,,,,E913849947526736
運動,越前市,瓜生水と緑公園体育館,0778-23-6222（公益社団法人越前市スポーツ協会）,915-0096,越前市瓜生町,,,,E913873223314921
運動,越前市,サッカー場（武生特殊鋼材ドリームサッカー場）,0778-23-6222（公益社団法人越前市スポーツ協会）,915-0096,越前市瓜生町,,,,E913873223566774
運動,越前市,今立体育センター,0778-43-1587,915-0233,越前市岩本町1-9,,,,E913849976392857
運動,越前市,丹南総合公園体育館,0778-42-6780,915-0891,越前市余田町50-4-1,,,,E913873213543112
運動,越前市,丹南総合公園野球場,0778-42-6780（体育館）,915-0891,越前市余田町50-4,,,,E913873213423681
運動,越前市,丹南総合公園多目的グラウンド,0778-42-6780（体育館）,915-0891,越前市余田町,,,,E913873213288784
運動,越前市,丹南総合公園全天候型球技場,0778-42-6780（体育館）,915-0891,越前市余田町,,,,E913873213162731
運動,越前市,丹南総合公園ゲートボール場,0778-42-6780（体育館）,915-0891,越前市余田町,,,,E913873213162731
運動,越前市,家久スポーツ公園庭球場,0778-24-3712（公益財団法人越前市文化振興・施設管理事業団）,915-0802,越前市北府一丁目,,,,E913849888249431
運動,越前市,家久スポーツ公園温水プール,0778-23-7986,915-0801,越前市家久町105-1,,,,E913849888276743
運動,越前市,家久スポーツ公園ソフトボール場,0778-24-3712（公益財団法人越前市文化振興・施設管理事業団）,915-0802,越前市北府一丁目,,,,E913849888259684
運動,越前市,今立南部公園庭球場,0778-43-1587（今立体育センター）,915-0233,越前市岩本町1-12,,,,E913849985419977
運動,越前市,白崎公園屋内ゲートボール場,0778-22-7463（スポーツ課）,915-0876,越前市白崎町,,,,E913849818179515
運動,越前市,武生体育センター,0778-22-7463（スポーツ課）,915-0853,越前市行松町,,,,E913849851663713
運動,越前市,みどりと自然の村サン・スポーツランド,0778-28-1119,915-1201,越前市安養寺町5-3,,,,E913849787552768
運動,越前市,北新庄体育館,0778-23-4604（北新庄公民館）,915-0004,越前市北町54-25,,,,E913849974713314
運動,越前市,北日野体育館,0778-23-4603（北日野公民館）,915-0052,越前市矢放町21-11,,,,E913849896671639
運動,越前市,大虫体育館,0778-23-3508（大虫公民館）,915-0894,越前市丹生郷町13-20-1,,,,E913849867135427
運動,越前市,弓道場,0778-22-7463（スポーツ課）,915-0844,越前市妙法寺町36-2-1,,,,E913849854735198
運動,越前市,今立中央公園多目的広場,0778-22-7463（スポーツ課）,915-0264,越前市野岡町,,,,E913873322147391
運動,越前市,今立テニスコート,0778-22-7463（スポーツ課）,915-0264,越前市野岡町,,,,E913873322147391
医療・福祉,越前市,市民プラザたけふ,0778-25-8800,915-0071,越前市府中一丁目11-2,8：30-23：30,12/29～1/3の年末年始,,E913849882497769
その他,越前市,観光・匠の技案内所,0778-24-0655,915-0071 ,越前市府中1丁目2-3,9:00-18:00,年末・年始?,,E913849882461873
その他,越前市,まちなかプラザ,0778-23-0705,915-0074,越前市蓬莱町3-1,10:00-18:00,年末・年始?,,E913849881654695
その他,越前市,第１清掃センター,0778-47-2553,919-0204,南条郡南越前町上野第８５号３９番地,平日8:30～16:30,日曜/祝日/年末・年始,ごみ処理手数料10㎏あたり60円,E913849592938522
その他,越前市,第２清掃センター,0778-28-1370,915-1221,越前市勾当原町第８６号２８番地,平日8:30～16:30,日曜/祝日/年末・年始（ただし、第2日曜日は開館、要電話予約）,ごみ処理手数料10㎏あたり60円、その他有料物あり,E913849751229679
