https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#headcount,,,,,,,,,,,,,,,,,,
平成18年度,公営企業等会計部門　水道,23,,,,,,,,,,,,,,,,,,
平成18年度,公営企業等会計部門　下水道,24,,,,,,,,,,,,,,,,,,
平成18年度,公営企業等会計部門　その他,29,,,,,,,,,,,,,,,,,,
平成18年度,公営企業等会計部門　小計,80,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　総務,135,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　税務,33,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　民生,161,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　衛生,29,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　農林水産,30,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　商工,22,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　土木,57,,,,,,,,,,,,,,,,,,
平成19年度,一般行政部門　小計,477,,,,,,,,,,,,,,,,,,
平成19年度,特別行政部門　教育,141,,,,,,,,,,,,,,,,,,
平成19年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成19年度,公営企業等会計部門　病院,3,,,,,,,,,,,,,,,,,,
平成19年度,公営企業等会計部門　水道,22,,,,,,,,,,,,,,,,,,
平成19年度,公営企業等会計部門　下水道,25,,,,,,,,,,,,,,,,,,
平成19年度,公営企業等会計部門　その他,21,,,,,,,,,,,,,,,,,,
平成19年度,公営企業等会計部門　小計,71,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　総務,135,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　税務,32,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　民生,154,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　衛生,29,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　農林水産,30,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　商工,21,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　土木,56,,,,,,,,,,,,,,,,,,
平成20年度,一般行政部門　小計,467,,,,,,,,,,,,,,,,,,
平成20年度,特別行政部門　教育,135,,,,,,,,,,,,,,,,,,
平成20年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成20年度,公営企業等会計部門　病院,3,,,,,,,,,,,,,,,,,,
平成20年度,公営企業等会計部門　水道,20,,,,,,,,,,,,,,,,,,
平成20年度,公営企業等会計部門　下水道,26,,,,,,,,,,,,,,,,,,
平成20年度,公営企業等会計部門　その他,19,,,,,,,,,,,,,,,,,,
平成20年度,公営企業等会計部門　小計,68,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　総務,134,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　税務,33,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　民生,148,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　衛生,28,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　農林水産,29,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　商工,23,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　土木,54,,,,,,,,,,,,,,,,,,
平成21年度,一般行政部門　小計,459,,,,,,,,,,,,,,,,,,
平成21年度,特別行政部門　教育,131,,,,,,,,,,,,,,,,,,
平成21年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成21年度,公営企業等会計部門　病院,4,,,,,,,,,,,,,,,,,,
平成21年度,公営企業等会計部門　水道,18,,,,,,,,,,,,,,,,,,
平成21年度,公営企業等会計部門　下水道,25,,,,,,,,,,,,,,,,,,
平成21年度,公営企業等会計部門　その他,20,,,,,,,,,,,,,,,,,,
平成21年度,公営企業等会計部門　小計,67,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　総務,132,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　税務,33,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　民生,144,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　衛生,30,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　農林水産,30,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　商工,22,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　土木,58,,,,,,,,,,,,,,,,,,
平成22年度,一般行政部門　小計,459,,,,,,,,,,,,,,,,,,
平成22年度,特別行政部門　教育,133,,,,,,,,,,,,,,,,,,
平成22年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成22年度,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成22年度,公営企業等会計部門　水道,19,,,,,,,,,,,,,,,,,,
平成22年度,公営企業等会計部門　下水道,22,,,,,,,,,,,,,,,,,,
平成22年度,公営企業等会計部門　その他,20,,,,,,,,,,,,,,,,,,
平成22年度,公営企業等会計部門　小計,61,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　総務,127,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　税務,33,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　民生,143,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　衛生,30,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　農林水産,30,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　商工,21,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　土木,56,,,,,,,,,,,,,,,,,,
平成23年度,一般行政部門　小計,450,,,,,,,,,,,,,,,,,,
平成23年度,特別行政部門　教育,127,,,,,,,,,,,,,,,,,,
平成23年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成23年度,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成23年度,公営企業等会計部門　水道,16,,,,,,,,,,,,,,,,,,
平成23年度,公営企業等会計部門　下水道,21,,,,,,,,,,,,,,,,,,
平成23年度,公営企業等会計部門　その他,20,,,,,,,,,,,,,,,,,,
平成23年度,公営企業等会計部門　小計,57,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　総務,124,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　税務,32,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　民生,135,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　衛生,27,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　農林水産,31,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　商工,23,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　土木,53,,,,,,,,,,,,,,,,,,
平成24年度,一般行政部門　小計,435,,,,,,,,,,,,,,,,,,
平成24年度,特別行政部門　教育,118,,,,,,,,,,,,,,,,,,
平成24年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成24年度,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成24年度,公営企業等会計部門　水道,16,,,,,,,,,,,,,,,,,,
平成24年度,公営企業等会計部門　下水道,20,,,,,,,,,,,,,,,,,,
平成24年度,公営企業等会計部門　その他,23,,,,,,,,,,,,,,,,,,
平成24年度,公営企業等会計部門　小計,59,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　総務,126,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　税務,31,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　民生,129,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　衛生,27,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　農林水産,29,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　商工,25,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　土木,48,,,,,,,,,,,,,,,,,,
平成25年度,一般行政部門　小計,425,,,,,,,,,,,,,,,,,,
平成25年度,特別行政部門　教育,112,,,,,,,,,,,,,,,,,,
平成25年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成25年度,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成25年度,公営企業等会計部門　水道,16,,,,,,,,,,,,,,,,,,
平成25年度,公営企業等会計部門　下水道,19,,,,,,,,,,,,,,,,,,
平成25年度,公営企業等会計部門　その他,21,,,,,,,,,,,,,,,,,,
平成25年度,公営企業等会計部門　小計,56,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　総務,125,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　税務,31,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　民生,125,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　衛生,27,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　農林水産,27,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　商工,23,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　土木,50,,,,,,,,,,,,,,,,,,
平成26年度,一般行政部門　小計,418,,,,,,,,,,,,,,,,,,
平成26年度,特別行政部門　教育,106,,,,,,,,,,,,,,,,,,
平成26年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成26年度,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成26年度,公営企業等会計部門　水道,16,,,,,,,,,,,,,,,,,,
平成26年度,公営企業等会計部門　下水道,18,,,,,,,,,,,,,,,,,,
平成26年度,公営企業等会計部門　その他,23,,,,,,,,,,,,,,,,,,
平成26年度,公営企業等会計部門　小計,57,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　総務,135,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　税務,31,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　民生,127,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　衛生,27,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　農林水産,29,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　商工,22,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　土木,50,,,,,,,,,,,,,,,,,,
平成27年度,一般行政部門　小計,431,,,,,,,,,,,,,,,,,,
平成27年度,特別行政部門　教育,97,,,,,,,,,,,,,,,,,,
平成27年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成27年度,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成27年度,公営企業等会計部門　水道,15,,,,,,,,,,,,,,,,,,
平成27年度,公営企業等会計部門　下水道,17,,,,,,,,,,,,,,,,,,
平成27年度,公営企業等会計部門　その他,20,,,,,,,,,,,,,,,,,,
平成27年度,公営企業等会計部門　小計,52,,,,,,,,,,,,,,,,,,
平成28年度,一般行政部門　議会,7,,7,135,30,125,28,3,28,24,52,432,94,0,0,15,17,16,48
平成28年度,一般行政部門　総務,135,,7,133,28,127,28,3,27,28,51,432,89,0,0,15,18,15,48
平成28年度,一般行政部門　税務,30,,7,130,30,126,28,3,28,30,51,433,89,0,0,15,18,15,48
平成28年度,一般行政部門　民生,125,,6,125,30,123,28,3,28,32,51,426,91,0,0,15,19,14,48
平成28年度,一般行政部門　衛生,28,,6,120,29,122,28,3,27,33,51,419,91,0,0,13,18,23,54
平成28年度,一般行政部門　労働,3,,6,121,29,124,30,3,29,36,48,426,90,0,0,11,16,23,50
平成28年度,一般行政部門　農林水産,28,,,,,,,,,,,,,,,,,,
平成28年度,一般行政部門　商工,24,,,,,,,,,,,,,,,,,,
平成28年度,一般行政部門　土木,52,,,,,,,,,,,,,,,,,,
平成28年度,一般行政部門　小計,432,,,,,,,,,,,,,,,,,,
平成28年度,特別行政部門　教育,94,,,,,,,,,,,,,,,,,,
平成28年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成28年度,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成28年度,公営企業等会計部門　水道,15,,,,,,,,,,,,,,,,,,
平成28年度,公営企業等会計部門　下水道,17,,,,,,,,,,,,,,,,,,
平成28年度,公営企業等会計部門　その他,16,,,,,,,,,,,,,,,,,,
平成28年度,公営企業等会計部門　小計,48,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　総務,133,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　税務,28,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　民生,127,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　衛生,28,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　農林水産,27,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　商工,28,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　土木,51,,,,,,,,,,,,,,,,,,
平成29年,一般行政部門　小計,432,,,,,,,,,,,,,,,,,,
平成29年,特別行政部門　教育,89,,,,,,,,,,,,,,,,,,
平成29年,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成29年,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成29年,公営企業等会計部門　水道,15,,,,,,,,,,,,,,,,,,
平成29年,公営企業等会計部門　下水道,18,,,,,,,,,,,,,,,,,,
平成29年,公営企業等会計部門　その他,15,,,,,,,,,,,,,,,,,,
平成29年,公営企業等会計部門　小計,48,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　総務,130,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　税務,30,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　民生,126,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　衛生,28,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　農林水産,28,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　商工,30,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　土木,51,,,,,,,,,,,,,,,,,,
平成30年,一般行政部門　小計,433,,,,,,,,,,,,,,,,,,
平成30年,特別行政部門　教育,89,,,,,,,,,,,,,,,,,,
平成30年,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成30年,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
平成30年,公営企業等会計部門　水道,15,,,,,,,,,,,,,,,,,,
平成30年,公営企業等会計部門　下水道,18,,,,,,,,,,,,,,,,,,
平成30年,公営企業等会計部門　その他,15,,,,,,,,,,,,,,,,,,
平成30年,公営企業等会計部門　小計,48,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　議会,6,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　総務,125,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　税務,30,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　民生,123,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　衛生,28,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　農林水産,28,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　商工,32,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　土木,51,,,,,,,,,,,,,,,,,,
令和元年,一般行政部門　小計,426,,,,,,,,,,,,,,,,,,
令和元年,特別行政部門　教育,91,,,,,,,,,,,,,,,,,,
令和元年,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
令和元年,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
令和元年,公営企業等会計部門　水道,15,,,,,,,,,,,,,,,,,,
令和元年,公営企業等会計部門　下水道,19,,,,,,,,,,,,,,,,,,
令和元年,公営企業等会計部門　その他,14,,,,,,,,,,,,,,,,,,
令和元年,公営企業等会計部門　小計,48,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　議会,6,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　総務,120,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　税務,29,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　民生,122,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　衛生,28,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　農林水産,27,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　商工,33,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　土木,51,,,,,,,,,,,,,,,,,,
令和2年,一般行政部門　小計,419,,,,,,,,,,,,,,,,,,
令和2年,特別行政部門　教育,91,,,,,,,,,,,,,,,,,,
令和2年,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
令和2年,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
令和2年,公営企業等会計部門　水道,13,,,,,,,,,,,,,,,,,,
令和2年,公営企業等会計部門　下水道,18,,,,,,,,,,,,,,,,,,
令和2年,公営企業等会計部門　その他,23,,,,,,,,,,,,,,,,,,
令和2年,公営企業等会計部門　小計,54,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　議会,6,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　総務,121,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　税務,29,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　民生,124,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　衛生,30,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　農林水産,29,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　商工,36,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　土木,48,,,,,,,,,,,,,,,,,,
令和3年,一般行政部門　小計,426,,,,,,,,,,,,,,,,,,
令和3年,特別行政部門　教育,90,,,,,,,,,,,,,,,,,,
令和3年,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
令和3年,公営企業等会計部門　病院,0,,,,,,,,,,,,,,,,,,
令和3年,公営企業等会計部門　水道,11,,,,,,,,,,,,,,,,,,
令和3年,公営企業等会計部門　下水道,16,,,,,,,,,,,,,,,,,,
令和3年,公営企業等会計部門　その他,23,,,,,,,,,,,,,,,,,,
令和3年,公営企業等会計部門　小計,50,,,,,,,,,,,,,,,,,,
