https://schema.org/name,https://schema.org/address,https://schema.org/Place,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,https://code4fukui.github.io/rdf/#echizen_city_area,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/postalCode,https://schema.org/telephone,https://code4fukui.github.io/rdf/#physical_disability,https://code4fukui.github.io/rdf/#intellectual_disability,https://code4fukui.github.io/rdf/#mental_disability,https://code4fukui.github.io/rdf/#child_with_disabilities,https://schema.org/description
あいぜん訪問介護センター,越前市広瀬町131-23,,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),白山,35.8872777,136.143272,915-0872,0778-21-1782,○,○,○,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
訪問介護ステーション府中,越前市府中1丁目4-10,,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),東,35.9027848,136.1695022,915-0071,0778-24-3610,○,○,,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
越前市社会福祉協議会　ホームヘルプサービスセンター,越前市矢船町8-12-1,介護支援ｾﾝﾀｰ芦山,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),北日野,35.8877257,136.1769353,915-0057,0778-22-3233,○,○,○,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
いちばん介護,越前市瓜生町31-1,,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),国高,35.926121,136.177404,915-0096,0778-22-0055,○,○,○,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
ニチイケアセンター武生,越前市国高1丁目16-16,,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),国高,35.911176,136.1866226,915-0082,0778-25-5080,○,○,○,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
ほっとヘルパーステーション,越前市高木町55-11-11,,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),国高,35.9190335,136.191769,915-0091,0778-21-5208,○,○,,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
さくらケアサービス,越前市横市町4-5,,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),国高,35.9117177,136.1904944,915-0094,0778-21-1301,○,○,○,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
指定居宅事業所　Ｆｏｏｌｓ,越前市庄町21-5-2,ｺｰﾎﾟﾗｽ横山101,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),国高,35.904891,136.198868,915-0093,0778-67-8403,○,○,,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
ライフケアリング蕾,越前市家久町55-13-3,,社会福祉課,福祉,社会福祉施設,居宅介護 (ホームヘルプ･重度訪問介護),吉野,35.931534,136.16406,915-0801,0778-42-7322,○,○,○,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
越前市社会福祉協議会　ホームヘルプサービスセンター,越前市矢船町8-12-1,介護支援ｾﾝﾀｰ芦山,社会福祉課,福祉,社会福祉施設,同行援護,北日野,35.8877257,136.1769353,915-0057,0778-22-3233,○視覚障害,,,,視覚障害により、移動に著しい困難を有する障がい者等につき、外出時において、当該障がい者等に同行し、移動に必要な情報を提供するとともに、移動の援護、排せつ及び食事等の介護その他の当該障がい者等が外出する際に必要な援助を適切かつ効率的に行います。
ニチイケアセンター武生,越前市国高1丁目16-16,,社会福祉課,福祉,社会福祉施設,同行援護,国高,35.911176,136.1866226,915-0082,0778-25-5080,○視覚障害,,,,視覚障害により、移動に著しい困難を有する障がい者等につき、外出時において、当該障がい者等に同行し、移動に必要な情報を提供するとともに、移動の援護、排せつ及び食事等の介護その他の当該障がい者等が外出する際に必要な援助を適切かつ効率的に行います。
越前市社会福祉協議会　ホームヘルプサービスセンター,越前市矢船町8-12-1,介護支援ｾﾝﾀｰ芦山,社会福祉課,福祉,社会福祉施設,行動援護,北日野,35.8877257,136.1769353,915-0057,0778-22-3233,,○,○,,知的障がい者又は精神障がい者等が行動する際に生じ得る危険を回避するために必要な援護、外出時における移動中の介護、排せつ及び食事等の介護、その他行動する際に必要な援助を行います。
ライフケアリング蕾,越前市家久町55-13-3,,社会福祉課,福祉,社会福祉施設,行動援護,吉野,35.931534,136.16406,915-0801,0778-42-7322,,○,○,○,自宅での入浴、排せつ、食事等の介護や外出時における移動中の介護などを行うサービスです。
あいの里,越前市白崎町35-11-1,,社会福祉課,福祉,社会福祉施設,短期入所 (ショートステイ),王子保,35.8645028,136.1436476,915-0876,0778-21-0500,,○,,○,自宅で介護する人が病気の場合などに短期間、夜間も含めて施設で、入浴、排せつ、食事の介護等を行うサービスです。
エンジェル・キッズ,越前市横市町16-23-4,,社会福祉課,福祉,社会福祉施設,短期入所 (ショートステイ),国高,35.9105401,136.1927246,915-0094,0778-23-7735,○,○,,○,自宅で介護する人が病気の場合などに短期間、夜間も含めて施設で、入浴、排せつ、食事の介護等を行うサービスです。
ほっとリハビリショートステイ,越前市高木町55-11-18,,社会福祉課,福祉,社会福祉施設,短期入所 (ショートステイ),国高,35.9190196,136.1920939,915-0091,0778-29-3000,○,,,,自宅で介護する人が病気の場合などに短期間、夜間も含めて施設で、入浴、排せつ、食事の介護等を行うサービスです。
若越みどりの村,越前市萱谷町2-12-1,,社会福祉課,福祉,社会福祉施設,短期入所 (ショートステイ),味真野,35.8798199,136.2308063,915-0037,0778-27-1560,○,,,,自宅で介護する人が病気の場合などに短期間、夜間も含めて施設で、入浴、排せつ、食事の介護等を行うサービスです。
ぴーぷるファン,越前市帆山町5-31-1,,社会福祉課,福祉,社会福祉施設,生活介護,北日野,35.8963191,136.1778238,915-0051,0778-23-1439,○,○,○,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
エンジェル・キッズ,越前市国高2丁目26-4-1,,社会福祉課,福祉,社会福祉施設,生活介護,国高,35.9084125,136.1901751,915-0082,0778-23-7735,○,○,○,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
越前市社会福祉協議会　デイサービスセンター芦山,越前市矢船町8-12-1,介護支援ｾﾝﾀｰ芦山,社会福祉課,福祉,社会福祉施設,生活介護,北日野,35.8877257,136.1769353,915-0057,0778-22-3233,○,,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
総合福祉支援事業所わかたけ,越前市西谷町33-10-2,,社会福祉課,福祉,社会福祉施設,生活介護,北日野,35.8779884,136.1898982,915-0046,0778-22-0007,○,○,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
ほっとリハビリ,越前市高木町55-11-11,,社会福祉課,福祉,社会福祉施設,生活介護,国高,35.9190335,136.191769,915-0091,0778-21-5208,○,,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
デイサービスいっしょ家,越前市家久町74-14-1,,社会福祉課,福祉,社会福祉施設,生活介護,吉野,35.9273706,136.1661323,915-0801,0778-29-3280,○,○,○,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
しくらデイ明日花,越前市千福町328,,社会福祉課,福祉,社会福祉施設,生活介護,南,35.8880223,136.1565538,915-0846,0778-25-5522,○,,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
ケアフルハウス,越前市広瀬町153-12-2,,社会福祉課,福祉,社会福祉施設,生活介護,白山,35.889587,136.146716,915-0832,0778-22-0030,○,,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
若越みどりの村,越前市萱谷町2-12-1,,社会福祉課,福祉,社会福祉施設,生活介護,味真野,35.8798199,136.2308063,915-0037,0778-27-1560,○,,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
複合型デイサービスてまり,越前市平出1丁目12-37,,社会福祉課,福祉,社会福祉施設,生活介護,西,35.9089838,136.1598029,915-0803,0778-22-5108,,○,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
デイサービスふぅ,越前市小野谷町4-1-10,,社会福祉課,福祉,社会福祉施設,生活介護,北日野,35.887932,136.186092,915-0054,0778-43-5596,○,○,○,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
あいの里,越前市白崎町35-11-1,,社会福祉課,福祉,社会福祉施設,生活介護,王子保,35.8645028,136.1436476,915-0876,0778-21-0500,,○,,,常に介護を必要とする人に、昼間、事業所において入浴、排せつ、食事の介護等を行うとともに、創作的活動または生産活動の機会を提供するサービスです。
ほっとリハビリ,越前市高木町55-11-11,,社会福祉課,福祉,社会福祉施設,機能訓練,国高,35.9190335,136.191769,915-0091,0778-21-5208,○,,,,自立した日常生活ができるよう、一定期間、身体機能の向上のために必要な訓練を行うサービスです。
複合型デイサービスてまり,越前市平出1丁目12-37,,社会福祉課,福祉,社会福祉施設,生活訓練,西,35.9089838,136.1598029,915-0803,0778-22-5108,,○,,,自立した社会生活ができるよう、一定期間、生活能力の向上のために必要な訓練を行うサービスです。
デイサービスいっしょ家,越前市家久町74-14-1,,社会福祉課,福祉,社会福祉施設,生活訓練,吉野,35.9273706,136.1661323,915-0801,0778-29-3280,,○,○,,自立した社会生活ができるよう、一定期間、生活能力の向上のために必要な訓練を行うサービスです。
コミュニティーえちぜん,越前市府中2丁目3-22,やわらぎﾋﾞﾙ1階,社会福祉課,福祉,社会福祉施設,生活訓練,東,35.904986,136.168955,915-0071,0778-24-1955,,,○,,自立した社会生活ができるよう、一定期間、生活能力の向上のために必要な訓練を行うサービスです。
障害福祉サービス事業所サニーワークホーム,越前市庄田町25-4-3,,社会福祉課,福祉,社会福祉施設,就労移行支援,北日野,35.8890375,136.2047096,915-0043,0778-23-7940,,,○,,一般企業等への就労を希望する人に、一定期間、就労に必要な知識および能力向上のために必要な訓練を行うサービスです。
障害福祉サービス事業所ワークホームそら,越前市国高2丁目42-6,,社会福祉課,福祉,社会福祉施設,就労移行支援,国高,35.9085736,136.189939,915-0082,0778-43-5510,○,○,○,,一般企業等への就労を希望する人に、一定期間、就労に必要な知識および能力向上のために必要な訓練を行うサービスです。
ぴーぷるファン,越前市帆山町5-31-1,,社会福祉課,福祉,社会福祉施設,就労移行支援,北日野,35.8963191,136.1778238,915-0051,0778-23-1439,○,○,○,,一般企業等への就労を希望する人に、一定期間、就労に必要な知識および能力向上のために必要な訓練を行うサービスです。
障がい者支援センターひまわり,越前市白崎町34-12-1,,社会福祉課,福祉,社会福祉施設,就労移行支援,王子保,35.8644917,136.145103,915-0876,0778-24-2586,,○,,,一般企業等への就労を希望する人に、一定期間、就労に必要な知識および能力向上のために必要な訓練を行うサービスです。
就労支援センターすてっぷ,越前市小野谷町14-1-11,,社会福祉課,福祉,社会福祉施設,就労移行支援,北日野,35.887249,136.186474,915-0054,0778-29-3637,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
たけふ福祉工場,越前市白崎町35-10-1,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,王子保,35.8649527,136.1430643,915-0876,0778-21-3500,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
株式会社ウェルファーム,越前市東千福町11-25,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,南,35.8911414,136.1583591,915-0847,0778-23-0870,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
株式会社エイティーンス,越前市庄町25-1,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,国高,35.9077212,136.1977934,915-0093,0778-22-3218,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
就労支援センターすてっぷ,越前市小野谷町14-1-11,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,北日野,35.887249,136.186474,915-0054,0778-29-3637,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
総合福祉支援事業所わかたけ,越前市西谷町33-10-2,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,北日野,35.8779884,136.1898982,915-0046,0778-22-0007,,○,,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
エイティーンス電装株式会社,越前市北町74-52,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,北新庄,35.9102103,136.2168989,915-0004,0778-22-7018,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
株式会社アクアファーム,越前市瓜生町33-19-4,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,国高,35.924391,136.177919,915-0096,0778-23-2300,,○,,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
ワークホームそら　障害福祉サービス事業所,越前市押田2丁目9-1,,社会福祉課,福祉,社会福祉施設,就労継続支援Ａ型（雇用型）,国高,35.907866,136.188753,915-0083,0778-43-5332,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
障害福祉サービス事業所サニーワークホーム,越前市庄田町25-4-3,,社会福祉課,福祉,社会福祉施設,就労継続支援Ｂ型（非雇用型）,北日野,35.8890375,136.2047096,915-0043,0778-23-7940,,,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
障害福祉サービス事業所ワークホームそら,越前市国高2丁目42-6,,社会福祉課,福祉,社会福祉施設,就労継続支援Ｂ型（非雇用型）,国高,35.9085736,136.189939,915-0082,0778-43-5510,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
ぴーぷるファン,越前市帆山町5-31-1,,社会福祉課,福祉,社会福祉施設,就労継続支援Ｂ型（非雇用型）,北日野,35.8963191,136.1778238,915-0051,0778-23-1439,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
障がい者支援センターひまわり,越前市白崎町34-12-1,,社会福祉課,福祉,社会福祉施設,就労継続支援Ｂ型（非雇用型）,王子保,35.8644917,136.145103,915-0876,0778-24-2586,,○,,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
就労支援センターすてっぷ,越前市小野谷町14-1-11,,社会福祉課,福祉,社会福祉施設,就労継続支援Ｂ型（非雇用型）,北日野,35.887249,136.186474,915-0054,0778-29-3637,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
総合福祉支援事業所わかたけ,越前市西谷町33-10-2,,社会福祉課,福祉,社会福祉施設,就労継続支援Ｂ型（非雇用型）,北日野,35.8779884,136.1898982,915-0046,0778-22-0007,,○,,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
障害福祉サービス事業所　第２ぴーぷるファン,越前市小野谷町4-3-16,,社会福祉課,福祉,社会福祉施設,就労継続支援Ｂ型（非雇用型）,北日野,35.887682,136.188658,915-0054,0778-23-1077,○,○,○,,一般企業等での就労が困難な人に、働く場を提供するとともに、知識および能力の向上のために必要な訓練を行うサービスです。
北日野こもれび会　共同生活ぴーぷるファン,越前市庄田町3-5-2,,社会福祉課,福祉,社会福祉施設,グループホーム・ケアホーム,北日野,35.8889123,136.196883,915-0043,0778-23-1439,,○,○,,夜間や休日、共同生活を行う住居で、相談や日常生活上の援助を行うサービスです。
芦山会　グループホーム竹,越前市下太田町21-9-12,,社会福祉課,福祉,社会福祉施設,グループホーム・ケアホーム,大虫,35.909439,136.148998,915-0881,0778-23-7940,,○,○,,夜間や休日、共同生活を行う住居で、相談や日常生活上の援助を行うサービスです。
芦山会　グループホーム芝原,越前市芝原1丁目5-2,,社会福祉課,福祉,社会福祉施設,グループホーム・ケアホーム,吉野,35.917391,136.160212,915-0805,0778-23-7940,,○,○,,夜間や休日、共同生活を行う住居で、相談や日常生活上の援助を行うサービスです。
陽光会　陽だまり,越前市白崎町34-10-1,,社会福祉課,福祉,社会福祉施設,グループホーム・ケアホーム,王子保,35.8644917,136.145103,915-0876,0778-24-2586,,○,,,夜間や休日、共同生活を行う住居で、相談や日常生活上の援助を行うサービスです。
陽光会　ひかり,越前市松森町24-15-1,,社会福祉課,福祉,社会福祉施設,グループホーム・ケアホーム,南,35.88196,136.166019,915-0852,0778-77-4812,,○,,,夜間や休日、共同生活を行う住居で、相談や日常生活上の援助を行うサービスです。
えちぜん青少年自立援助センター　グループホームふれんず,越前市姫川１丁目3-22,,社会福祉課,福祉,社会福祉施設,グループホーム・ケアホーム,南,35.891166,136.169569,915-0062,0778-29-3637,○,○,○,,夜間や休日、共同生活を行う住居で、相談や日常生活上の援助を行うサービスです。
六条厚生会　ハウスえちぜん,越前市家久町88-17-7,,社会福祉課,福祉,社会福祉施設,グループホーム・ケアホーム,吉野,35.924665,136.169934,915-0801,0778-42-5861,,,○,,夜間や休日、共同生活を行う住居で、相談や日常生活上の援助を行うサービスです。
越前市児童発達支援ｾﾝﾀｰなないろ,越前市府中1丁目11-2,越前市福祉健康センター,社会福祉課,福祉,社会福祉施設,児童発達支援(未就学の障がい児),東,35.9053539,136.1703215,915-0071,0778-22-3628,,,,○,未就学の障がい児に、日常生活における基本的な動作の指導、集団生活への適応訓練等を行うサービスです。
複合型デイサービスてまり,越前市平出1丁目12-37,,社会福祉課,福祉,社会福祉施設,児童発達支援(未就学の障がい児),西,35.9089838,136.1598029,915-0803,0778-22-5108,,,,○,未就学の障がい児に、日常生活における基本的な動作の指導、集団生活への適応訓練等を行うサービスです。
デイサービスいっしょ家,越前市家久町74-14-1,,社会福祉課,福祉,社会福祉施設,児童発達支援(未就学の障がい児),吉野,35.9273706,136.1661323,915-0801,0778-29-3280,,,,○,未就学の障がい児に、日常生活における基本的な動作の指導、集団生活への適応訓練等を行うサービスです。
越前市児童発達支援ｾﾝﾀｰなないろ,越前市府中1丁目11-2,越前市福祉健康センター,社会福祉課,福祉,社会福祉施設,放課後等デイサービス(就学後の障がい児),東,35.9053539,136.1703215,915-0071,0778-22-3628,,,,○,学校通学中の障がい児に対し、放課後や夏休み等の長期休暇中において生活能力向上のための訓練を行うサービスです。
エンジェル・キッズ,越前市国高2丁目26-4-1,,社会福祉課,福祉,社会福祉施設,放課後等デイサービス(就学後の障がい児),国高,35.9084125,136.1901751,915-0082,0778-23-7735,,,,○,学校通学中の障がい児に対し、放課後や夏休み等の長期休暇中において生活能力向上のための訓練を行うサービスです。
障がい児のデイサービス杉の子,越前市上大坪町35-1-1,,社会福祉課,福祉,社会福祉施設,放課後等デイサービス(就学後の障がい児),大虫,35.8852996,136.2265955,915-0024,080-6364-0081,,,,○,学校通学中の障がい児に対し、放課後や夏休み等の長期休暇中において生活能力向上のための訓練を行うサービスです。
複合型デイサービスてまり,越前市平出1丁目12-37,,社会福祉課,福祉,社会福祉施設,放課後等デイサービス(就学後の障がい児),西,35.9089838,136.1598029,915-0803,0778-22-0305,,,,○,学校通学中の障がい児に対し、放課後や夏休み等の長期休暇中において生活能力向上のための訓練を行うサービスです。
デイサービスいっしょ家,越前市家久町74-14-1,,社会福祉課,福祉,社会福祉施設,放課後等デイサービス(就学後の障がい児),吉野,35.9273706,136.1661323,915-0801,0778-29-3280,,,,○,学校通学中の障がい児に対し、放課後や夏休み等の長期休暇中において生活能力向上のための訓練を行うサービスです。
デイサービスふぅ,越前市小野谷町4-1-10,,社会福祉課,福祉,社会福祉施設,放課後等デイサービス(就学後の障がい児),北日野,35.887932,136.186092,915-0054,0778-43-5596,,,,○,学校通学中の障がい児に対し、放課後や夏休み等の長期休暇中において生活能力向上のための訓練を行うサービスです。
越前市社会福祉協議会相談支援センター,越前市府中1丁目11-2,越前市福祉健康センター,社会福祉課,福祉,社会福祉施設,相談支援,東,35.9053539,136.1703215,915-0071,0778-22-8500,○,○,,○,本人や保護者、介護を行う人等からの相談に応じ、必要な情報の提供や権利擁護のために必要な相談支援を行います。必要があれば家庭訪問や専門機関への紹介や同行、他の機関との連絡調整等を行うサービスです。
障がい相談支援センターえちぜん,越前市府中2丁目3-22,やわらぎﾋﾞﾙ1階,社会福祉課,福祉,社会福祉施設,相談支援,東,35.904986,136.168955,915-0071,0778-24-1955,,,○,,本人や保護者、介護を行う人等からの相談に応じ、必要な情報の提供や権利擁護のために必要な相談支援を行います。必要があれば家庭訪問や専門機関への紹介や同行、他の機関との連絡調整等を行うサービスです。
あいぜん,越前市広瀬町131-23,,社会福祉課,福祉,社会福祉施設,移動支援,白山,35.8872777,136.143272,915-0872,0778-21-1782,○,,,○,重度の障害のある方が、円滑に外出できるよう介助人が付き添い、移動の支援を行うサービスです。利用は、家族・親族等の支援が得られない時間帯が対象となります。また、自宅以外の場所からの利用はできません。病院や福祉サービス事業所を目的地とする利用もできません。なお、タクシー代や電車代などの実費については利用者の方の負担となります。
越前市社会福祉協議会　ホームヘルプサービスセンター,越前市矢船町8-12-1,介護支援ｾﾝﾀｰ芦山,社会福祉課,福祉,社会福祉施設,移動支援,北日野,35.8877257,136.1769353,915-0057,0778-22-3233,○,○,○,○,重度の障害のある方が、円滑に外出できるよう介助人が付き添い、移動の支援を行うサービスです。利用は、家族・親族等の支援が得られない時間帯が対象となります。また、自宅以外の場所からの利用はできません。病院や福祉サービス事業所を目的地とする利用もできません。なお、タクシー代や電車代などの実費については利用者の方の負担となります。
ニチイケアセンター武生,越前市国高1丁目16-16,,社会福祉課,福祉,社会福祉施設,移動支援,国高,35.911176,136.1866226,915-0082,0778-25-5080,○,○,○,○,重度の障害のある方が、円滑に外出できるよう介助人が付き添い、移動の支援を行うサービスです。利用は、家族・親族等の支援が得られない時間帯が対象となります。また、自宅以外の場所からの利用はできません。病院や福祉サービス事業所を目的地とする利用もできません。なお、タクシー代や電車代などの実費については利用者の方の負担となります。
