https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone
OMUSHI SHOGAKKO,Takamori-cho 14-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9062085,136.1418661,REGIÃO DE OMUSHI,0778-22-1109
OSHIO SHOGAKKO,Imajuku-cho 5-14,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8661114,136.1674812,REGIÃO DE OSHIO,0778-22-1293
TAKEFU DAI ROKU CHUGAKKO,Shiromaru-cho 16-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8657,136.1590542,REGIÃO DE OSHIO,0778-22-1462
KITAHINO SHOGAKKO,Onodani-cho 2-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8894509,136.190595,REGIÃO DE KITAHINO,0778-22-1095
MANYO CHUGAKKO,Nishio-cho 48-18,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8922735,136.2135026,REGIÃO DE KITAHINO,0778-27-1258
KITASHINJO SHOGAKKO,Kita-cho 47-6,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9139874,136.2099638,REGIÃO DE KITASHINJO,0778-22-1040
AJIMANO SHOGAKKO,Ikeizumi-cho 9-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8905074,136.2328142,REGIÃO DE AJIMANO,0778-27-1323
SHIRAYAMA SHOGAKKO,Tobe-cho 24-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8880581,136.0528846,REGIÃO DE SHIRAYAMA,0778-28-1002
TAKEFU DAI GO CHUGAKKO,Tobe-cho 36-73,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.8885303,136.0568425,REGIÃO DE SHIRAYAMA,0778-28-1004
KAKYOU SHOGAKKO,Awatabe-cho 41-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Terremoto,35.9141213,136.2403936,REGIÃO DE AWATABE,0778-42-0045
IMADATE GEIJYUTSUKAN,Awatabe-cho 11-1-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9187262,136.2472218,REGIÃO DE AWATABE,0778-42-2700
IMADATE TAIIKU CENTER,Iwamoto-cho 1-9,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9098967,136.2406742,REGIÃO DE AWATABE,0778-43-1587
OKAMOTO SHOGAKKO,Sadatomo-cho 10-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9151435,136.2451764,REGIÃO DE OKAMOTO,0778-42-0101
NANETSU CHUGAKKO,Nooka-cho 28-4,Seção de Segurança e Prevenção de Desastres do Município de Echizen,prevenção de desastres,ÁREA DE REFÚGIO DA REGIÃO,Todos os tipos de desastres,35.9261258,136.2497424,REGIÃO DE MINAMINAKAYAMA,0778-42-1870
