https://schema.org/name,https://schema.org/address,https://schema.org/description,https://schema.org/url,https://schema.org/telephone,https://schema.org/category,https://schema.org/color,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
林医院,越前市野岡町21-3,公益社団法人日本小児科医会、公益社団法人日本小児科学会の会員である小児科医,,0778-42-0641,児、内、皮,オレンジ,35.92477,136.248779,岡本
いんべ歯科医院,越前市府中一丁目4-24,,https://www.imbe-shika.com/,0778-22-5050,歯,水色,35.902817,136.168616,東
坂野歯科医院,越前市府中一丁目12-28,,http://www.sakanosika.net/,0778-22-6323,歯,水色,35.903747,136.169935,東
直江歯科医院,越前市府中一丁目13-40,,,0778-24-0900,歯,水色,35.903579,136.169405,東
天井歯科医院,越前市天王町2-24,,,0778-24-0648,歯,水色,35.900967,136.167718,東
服部歯科医院,越前市幸町3-35,,,0778-22-1251,歯,水色,35.903691,136.167361,東
水野歯科医院,越前市幸町4-5,,,0778-24-1162,歯,水色,35.903495,136.166148,東
西尾歯科医院,越前市北府二丁目12-29,,,0778-21-1121,歯,水色,35.915152,136.166635,東
（医）斉藤医院  ,越前市北府三丁目5-1,,,0778-22-0234,歯,水色,35.911227,136.165231,東
片山歯科医院,越前市桂町5-22,,http://www.katayama-dentalclinic.com/,0778-22-0925,歯,水色,35.905156,136.165389,東
（医）山本歯科医院,越前市元町1-12,,,0778-24-0558,歯,水色,35.901191,136.165862,西
平井歯科医院,越前市京町二丁目4-5,,,0778-22-1184,歯,水色,35.902649,136.161933,西
岩堀歯科クリニック,越前市平和町9-3,,,0778-29-0648,歯,水色,35.898288,136.163717,西
くどう歯科医院,越前市高瀬一丁目7-15,,,0778-23-6480,歯,水色,35.897171,136.157723,西
（医）水谷歯科医院,越前市平出三丁目8-40,,,0778-24-3570,歯,水色,35.914334,136.159269,西
若泉歯科クリニック,越前市文京二丁目12-38,,https://www.wakaizumi-dental.com/,0778-24-3021,歯,水色,35.89363,136.163513,南
こいずみデンタルクリニック,越前市松森町111,,http://www.koizumi-dental.net/,0778-21-3222,歯,水色,35.881183,136.161879,南
わきた歯科医院,越前市千福町127,,,0778-21-0100,歯,水色,35.8921399,136.1531956,南
（医）坂下歯科医院,越前市村国二丁目11-31,,,0778-22-0608,歯,水色,35.906474,136.180133,国高
あさざわ歯科医院,越前市村国三丁目7-7,,http://asazawa-dental.cihp.jp/,0778-23-0821,歯,水色,35.908011,136.181183,国高
宮本歯科クリニック,越前市村国三丁目34-1,,,0778-25-7771,歯,水色,35.912797,136.178907,国高
せいじ矯正歯科クリニック,越前市横市町1-5-7,,http://seiji-kyousei.com/,0778-29-0118,歯,水色,35.917557,136.192777,国高
増永歯科医院,越前市庄町1-4,,,0778-21-5552,歯,水色,35.91063,136.191168,国高
みずたに歯科クリニック,越前市長土呂町7-20-2,,http://www.mizutani-dc.com/,0778-43-6480,歯,水色,35.9171,136.188054,国高
山王歯科,越前市上太田町23-3-10,,https://www.sannou-dental.com/,0778-24-1766,歯,水色,35.907145,136.147921,大虫
けい歯科医院,越前市上太田町49-7-2,,https://www.keishika.jp/,0778-23-4618,歯,水色,35.901287,136.148824,大虫
ひの歯科クリニック,越前市岩内町2-1-2,,http://hinosika.net/,0778-25-6480,歯,水色,35.890942,136.19274,北日野
たけふ生協歯科診療所,越前市芝原五丁目8－1－1　,,http://www.fukui-min-iren.com/takefusika/index.html,0778-22-5666,歯,水色,35.922585,136.159138,吉野
藤井歯科医院,越前市粟田部町27-40,,,0778-42-0357,歯,水色,35.916089,136.237877,粟田部
山田歯科医院,越前市粟田部町33-6-7,,,0778-43-0345,歯,水色,35.917422,136.243185,粟田部
いけだ歯科医院,越前市粟田部町50-41,,,0778-42-3435,歯,水色,35.911976,136.239158,粟田部
