https://schema.org/name,https://schema.org/address,https://schema.org/telephone,https://schema.org/ReserveAction,https://schema.org/description,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
北新庄公民館,北町54-25,0778-23-4603,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209017,http://www.city.echizen.lg.jp/office/090/050/110/index.html,35.91294,136.21103,北新庄
味真野公民館,味真野町7-2-1,0778-27-1926,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209018,http://www.city.echizen.lg.jp/office/090/050/120/index.html,35.88745,136.22653,味真野
白山公民館,都辺町36-84,0778-28-1045,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209019,http://www.city.echizen.lg.jp/office/090/050/130/index.html,35.88801,136.05591,白山
花筐公民館,粟田部町17-20,0778-42-0361,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209020,http://www.city.echizen.lg.jp/office/090/050/140/index.html,35.91918,136.23862,粟田部
岡本公民館,定友町10-2-2,0778-42-1438,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209021,http://www.city.echizen.lg.jp/office/090/050/150/index.html,35.91385,136.24492,岡本
南中山公民館,西庄境町21-7-1,0778-43-1290,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209022,http://www.city.echizen.lg.jp/office/090/050/160/index.html,35.92926,136.24818,南中山
服間公民館,藤木町12-39-1,0778-43-0977,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209023,http://www.city.echizen.lg.jp/office/090/050/170/index.html,35.93481,136.26391,服間
丹南総合公園,余田町26-5,0778-42-6780,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209025,http://www.city.echizen.lg.jp/office/090/040/tannansougou.html,35.929875,136.15379,吉野
越前市エコビレッジ交流センター,湯谷町25-25-2,0778-28-1123,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209026,http://www.city.echizen.lg.jp/office/060/051/ecovilg.html,35.860111,136.086724,坂口
越前市しらやまいこい館,都辺町36-84,0778-28-1045,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209027,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209027,35.887855,136.056061,白山
越前市コミュニティーセンター柳荘,家久町105-10-1,0778-23-3436,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209084,http://www.city.echizen.lg.jp/office/050/010/yanagisou.html,35.920505,136.171849,吉野
越前市福祉健康センター,府中一丁目11-2,0778-25-8800,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209089,http://www.city.echizen.lg.jp/office/050/030/sisetu-kanri/fukusikennkousennta.html,35.904264,136.170358,東
越前市社会福祉センター,杉尾町1-27-1,0778-43-8888,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209091,http://www.city.echizen.lg.jp/office/050/010/syakaihukusisenta.html,35.920087,136.252806,岡本
帆山公園庭球場 （帆山公園テニスコート）,帆山町11-13-1,0778-24-3712,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209227,http://www.city.echizen.lg.jp/office/070/020/kouen/hoyamakouen.html,35.895465,136.177817,北日野
家久スポーツ公園庭球場,家久町105-1,0778-23-3436,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209239,http://www.city.echizen.lg.jp/office/090/040/sisetu/iehisa2.html,35.918558,136.171634,吉野
家久スポーツ公園ソフトボール場,家久町105-1,0778-23-3436,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209242,http://www.city.echizen.lg.jp/office/090/040/sisetu/iehisa2.html,35.918484,136.172386,吉野
今立南部公園庭球場 （今立南部公園テニスコート）,岩本町1-12,0778-43-1587,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209251,http://www.city.echizen.lg.jp/office/070/020/kouen/imadatenannbu.html,35.909417,136.240586,岡本
武生東運動公園庭球場 （東運動公園テニスコート）,西尾町31-19,0778-24-3712,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209281,http://www.city.echizen.lg.jp/office/090/040/sisetu/higasi.html,35.909417,136.240586,北日野
武生東運動公園陸上競技場,西尾町31-19,0778-24-3712,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209284,http://www.city.echizen.lg.jp/office/090/040/sisetu/higasi.html,35.894758,136.219338,北日野
武生東運動公園ソフトボール場,西尾町31-19,0778-24-3712,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209290,http://www.city.echizen.lg.jp/office/090/040/sisetu/higasi.html,35.892842,136.219571,北日野
武生中央公園庭球場,高瀬二丁目7-81,0778-22-6395,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209302,http://www.city.echizen.lg.jp/office/090/040/sisetu/cyuuou.html,35.898324,136.157105,西
北日野小学校グラウンドナイター,矢放町21-11,0778-23-4603,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209395,http://www.city.echizen.lg.jp/office/090/050/100/nighter.html,35.888972,136.190686,北日野
越前市今立中央公園多目的広場 ＆南越中学校グラウンドナイター,野岡町28-4,0778-43-7811,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209396,http://www.city.echizen.lg.jp/office/090/040/sisetu/imadateground.html,35.925631,136.249711,南中山
越前市生涯学習センター,府中一丁目13-15,0778-22-3005,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209421,http://www.city.echizen.lg.jp/office/090/070/center.html,35.903934,136.168735,東
越前市今立ふれあいプラザ,粟田部町9-1-9,0778-43-1587,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209467,http://www.city.echizen.lg.jp/office/090/040/sisetu/imadatehureaipuraza.html,35.919138,136.246423,粟田部
越前市文化センター,高瀬二丁目3-3,0778-23-5057,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209476,http://www.city.echizen.lg.jp/office/090/030/bunkasisetu/echizensibunkasenta-.html,35.89951,136.159943,西
越前市ふるさとギャラリー叔羅,東千福町17-17,0778-23-5811,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209482,http://www.city.echizen.lg.jp/office/090/030/bunkasisetu/furusatogyarari-.html,35.889122,136.158781,南
北新庄体育館,北町54-25,0778-23-4604,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209516,http://www.city.echizen.lg.jp/office/090/050/110/taiikukan.html,35.912526,136.211066,北新庄
北日野体育館,矢放町21-11,0778-23-4603,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209517,http://www.city.echizen.lg.jp/office/090/040/sisetu/mijikanataiikukan.html,35.889598,136.188229,北日野
大虫体育館,丹生郷町13-20-1,0778-23-3508,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209518,http://www.city.echizen.lg.jp/office/090/050/070/taiikukan.html,35.907831,136.141511,大虫
今立テニスコート,山室町5-1,0778-43-7811,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209524,http://www.city.echizen.lg.jp/office/090/040/sisetu/imadatetenniscort.html,35.926126,136.251197,南中山
越前市粟田部体育館,粟田部町中央1丁目501,0778-43-1587,https://www.e-reserve.jp/eap-rj/rsv_rj/Core_i/init.asp?KLCD=189999&SBT=3&LCD=18209&KCD=209530,http://www.city.echizen.lg.jp/office/090/040/sisetu/awatabetaiikukan.html,35.919783,136.244296,粟田部
