https://code4fukui.github.io/rdf/#rows,https://code4fukui.github.io/rdf/#consonant,https://code4fukui.github.io/rdf/#type_of_trash,https://schema.org/category,https://code4fukui.github.io/rdf/#conditions_of_collection,https://code4fukui.github.io/rdf/#classification
pqrs,r,rede (coleta de insetos e de pesca),Lixo Não-Combustível (MOYASENAI),,Lazer
abc,a,álbuns (fotos),Lixo Combustível (MOYASERU),,Artigos de uso diario
def,f,folha de alumínio,Lixo Não-Combustível (MOYASENAI),"Remova a sujeira e descarte no ""lixo não-combustível"".",Alimentos
def,e,esquadria de alumínio,Lixos de Grande Porte (SODAI GOMI),Descarte depois de cortar em pedaços menores que 180 cm de comprimento.,Moradia
abc,b,braseira ou botija para aquecer os pés,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Artigos de uso diario
abc,a,antena,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Aparelhos eletricos
abc,c,cadeira,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
mno,m,monociclo,Lixos de Grande Porte (SODAI GOMI),,Lazer
ghi,g,"garrafa sho (geralmente de sake. Aprox. 1,8L)",Coletado pelo revendedor,"Consulte o revendedor. Garrafas quebradas devem ser descartadas em ""garrafas vazias"". Garrafas de cores desconhecida devem ser descartadas no ""lixo não-combustível"".",Alimentos
jkl,l,lata de 18 litros (somente de  uso doméstico),Lixos de Grande Porte (SODAI GOMI),,Alimentos
abc,c,cão morto,Não Coletado,"Entre em contato com o centro de limpeza, tel: 0778-28-1370.",Animais
tuv,t,tábua memorial,Não Coletado,Consulte o templo,Outros
def,f,fone de ouvido,Lixo Não-Combustível (MOYASENAI),,Aparelhos eletricos
pqrs,r,resíduos hospitalar,Não Coletado,"Devolva para a instituição médica ou solicite o descarte a uma empresa especializada. Os resíduos de objetos de tratamento médico doméstico, não aguçados e não contagioso podem ser descartadas no ""lixo combustível"".",Hospitalar
pqrs,r,roupas,Lixo Combustível (MOYASERU),Descarte após cortar em pedaços de menos de 1 metro de comprimento.,Roupas
abc,c,caixinha de bebidas (sucos),Lixo Combustível (MOYASERU),"Mesmo aqueles que tiverem revestimento interno de alumínio devem ser descartados no ""lixo combustível"".",Alimentos
tuv,v,vaso de flor (cerâmica),Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".","Jardinagem,Agricultura"
tuv,v,vaso de flor (plástico),Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".","Jardinagem,Agricultura"
abc,b,boias e similares,Lixo Não-Combustível (MOYASENAI),Descarte após esvaziar o ar.,Lazer
pqrs,r,relógio de pulso,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
abc,c,carrinho para bebê,Lixos de Grande Porte (SODAI GOMI),,Artigos de uso diario
abc,a,ar condicionado,Coletado pelo revendedor,Leve o revendedor. O descarte pode também ser solicitado a uma empresa de transporte de resíduos. ※É necessário pagar taxa de reciclagem.,Aparelhos eletricos
mno,m,"MD, CD, LD e DVD",Lixo Não-Combustível (MOYASENAI),"A caixa também deve ser descartada no ""lixo não combustível"".",Aparelhos eletricos
def,e,electone (órgão eletrônico da empresa Yamaha),Lixos de Grande Porte (SODAI GOMI),"Para comprimentos maiores que 180 cm, consulte o centro de limpeza, tel: 0778-28-1370.",Lazer
mno,o,óleo do motor,Não Coletado,Consulte o revendedor ou posto de gasolina.,Veiculos
tuv,t,tubo de PVC (somente de uso doméstico),Lixo Não-Combustível (MOYASENAI),Descarte após cortar em pedaços de menos de 30 cm de comprimento.,Moradia
abc,c,conjunto da sala de visitas,Lixos de Grande Porte (SODAI GOMI),,Moradia
mno,m,motocicleta,Não Coletado,Leve ao revendedor ou solicite o descarte a uma empresa especializada.,Veiculos
def,f,forno microondas,Lixos de Grande Porte (SODAI GOMI),,Aparelhos eletricos
def,f,forno torradeira,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
mno,m,machado,Lixos de Grande Porte (SODAI GOMI),"A machadinha (ferramenta usada para cortar lenha) também deve ser descartada no ""lixo de grande porte"".","Jardinagem,Agricultura"
abc,b,brinquedos,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Artigos de uso diario
,,,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",
mno,o,órgãos,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos maiores que 180 cm, consulte o centro de limpeza, tel: 0778-28-1370.",Lazer
abc,a,aparelho aquecedor de água,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos maiores que 180 cm, consulte o centro de limpeza, tel: 0778-28-1370.",Aparelhos eletricos
abc,c,cortina,Lixos de Grande Porte (SODAI GOMI),"No entanto, as cortinas de tecido podem ser cortadas em pedaços de até 1 metro quadrado e descartadas no ""lixo combustível"".",Moradia
abc,c,cartão,Lixo Não-Combustível (MOYASENAI),"Cartões de crédito, etc.",Outros
tuv,t,tapete,Lixos de Grande Porte (SODAI GOMI),,Moradia
pqrs,p,papel carbono,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,c,conchas,Lixo Combustível (MOYASERU),,Alimentos
jkl,l,lanterna,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
jkl,k,kairo (descartável),Lixo Não-Combustível (MOYASENAI),"Devido o risco de provocar a ignição espontânea, não descarte o kairo não-utilizado (sem uso).   A embalagem de plástico deve ser descartada no lixo de ""plástico reciclável"".",Artigos de uso diario
pqrs,p,produtos químicos,Não Coletado,Consulte o revendedor.,Artigos de uso diario
def,e,espelho,Lixo Não-Combustível (MOYASENAI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Moradia
mno,m,móveis,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos maiores que 180 cm, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
ghi,g,guarda-chuva,Lixo Não-Combustível (MOYASENAI),E possível que parte do objeto fique fora do saco de lixo.,Artigos de uso diario
pqrs,r,resíduos de incêndios,Não Coletado,Consulte uma empresa especializada em demolições.,Moradia
tuv,u,umidificador,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
abc,c,caixa de doces (papel),Coleta de Papeis Velhos,Desmanche e dobre a caixa e descarte como [revistas e similares] no dia de coleta de papeis velhos para reciclagem.,Alimentos
jkl,l,lata de doces (metal),Latas Vazias (AKIKAN),Somente latas menores que o tamanho de meia lata de 18 litros.,Alimentos
pqrs,s,saquinho de doces (plástico),Plástico Reciclável (PURA),Esvazie totalmente e descarte após lavar o interior com água.,Alimentos
pqrs,s,saquinho de doces (papel),Coleta de Papeis Velhos,"Desmanche e dobre a caixa, e descarte como [revistas e similares] no dia de ""coleta de papeis velhos"" para reciclagem.",Alimentos
def,f,fogão,Lixos de Grande Porte (SODAI GOMI),,Moradia
abc,b,botijão de gás,Não Coletado,Devolva ou solicite o descarte ao revendedor de gás.,Moradia
def,f,fogão a gás,Lixos de Grande Porte (SODAI GOMI),"Remova as pilhas sem falta. As pilhas devem ser descartadas no ""lixo tóxico"".",Moradia
abc,c,cartucho de gás de fogão portátil,"Sprays, cilindros e similares",Para o descarte esvazie todo o conteúdo ao ar livre onde não há fogo .,Lazer
def,f,fogão a gás portátil,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho são menores que um quadrado de 30 cm podem ser descartados como ""lixo não-combustível"". Maiores que o tamanho citado devem ser descartados no ""lixo de grande porte"".",Lazer
def,f,fita cassete,Lixo Combustível (MOYASERU),"As caixas de plástico devem ser descartadas no ""lixo não-combustívell"". As de papel no dia de ""coleta de papeis velhos"" para reciclagem.",Aparelhos eletricos
ghi,i,instrumentos musicais,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos maiores que 180 cm, consulte o centro de limpeza, tel: 0778-28-1370.",Lazer
def,e,estilete,Lixo Não-Combustível (MOYASENAI),"Enrole fita crepe ou panos na parte afiada, e escreva [はもの] no saco de lixo.",Artigos de uso diario
abc,c,capa (chuva),Lixo Não-Combustível (MOYASENAI),,Roupas
pqrs,r,recipientes de macarrão instantâneo,Plástico Reciclável (PURA),"Se for de papel, descarte no ""lixo combustível"" . O filme da embalagem deve ser descartado no ""lixo de plástico reciclável"".",Alimentos
tuv,v,vaso,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Artigos de uso diario
def,f,foice,Lixo Não-Combustível (MOYASENAI),"Enrole fita crepe ou panos na parte afiada, e escreva [はもの] no saco de lixo.","Jardinagem,Agricultura"
abc,c,caldeirão,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Alimentos
def,f,fralda descartável,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,c,copo e prato de papel,Lixo Combustível (MOYASERU),,Alimentos
mno,n,navalha,Lixo Não-Combustível (MOYASENAI),"Enrole fita crepe ou panos na parte afiada, e escreva [はもの] no saco de lixo.",Artigos de uso diario
pqrs,s,saco de papel,Coleta de Papeis Velhos,Junte com as revistas e amarre.,Artigos de uso diario
def,f,fita crepe,Lixo Combustível (MOYASERU),"Se for de pano ou papel, descarte no ""lixo combustivel"". De outros materiais, descarte no ""lixo não combustível"".",Artigos de uso diario
abc,c,câmera,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
pqrs,p,pólvora,Não Coletado,Consulte uma loja especializada em pólvoras.,Outros
def,e,estante simples colorida,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos maiores que 180 cm, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
tuv,v,vidro,Lixo Não-Combustível (MOYASENAI),"Embrulhe com jornal e escreva [ガラス] no saco de lixo. As garrafas de vidro de bebidas devem ser descartadas nas cestas de ""garrafas vazias"" separadas por cor.",Moradia
abc,c,calendário,Coleta de Papeis Velhos,"Junte com as revistas e amarre. A parte de metal deve ser removida e descartada no ""lixo não-combustível"".",Artigos de uso diario
abc,c,couro,Lixo Não-Combustível (MOYASENAI),"Sapatos, bolsas e similares.",Roupas
tuv,t,telha (pequenas quantidades de uso doméstico),Leve diretamente ao Centro de Limpeza,"Somente em pequenas quantidades. Caso haja em grande quantidade, solicite o descarte a uma empresa especializada.",Moradia
def,e,exaustor,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Moradia
pqrs,s,secador (roupas),Coletado pelo revendedor,"Leve ao revendedor. É possível solicitar o descarte a uma empresa de transportes (a partir de abril de 2009). No entanto, é necessário pagar a taxa de reciclagem.",Aparelhos eletricos
def,d,dessecantes (alimentos),Lixo Não-Combustível (MOYASENAI),"Se for de papel, descarte no ""lixo combustível"" .",Alimentos
def,e,enema ou clister,Lixo Combustível (MOYASERU),Incinerar devido a questões higiênicas (esvaziar completamente o conteúdo).,Hospitalar
pqrs,p,pilhas,Lixo Tóxico (YUGAI GOMI),,Aparelhos eletricos
pqrs,p,"pilhas (recarregáveis, tipo botão)",Coletado pelo revendedor,,Aparelhos eletricos
pqrs,p,papel térmico,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,b,bomba de querosene,Lixo Não-Combustível (MOYASENAI),"Remova as pilhas sem falta. As pilhas devem ser descartadas no ""lixo tóxico"".",Artigos de uso diario
abc,c,caixa de leite,Coletado pelo revendedor/  Coleta de Papeis Velhos,"Corte e abra a caixa e leve ao revendedor ou descarte no dia de ""coleta de papeis velhos"" para reciclagem.",Alimentos
abc,b,borrifador,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
pqrs,p,papel alumínio,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,a,aquario redondo,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Lazer
abc,c,cofre,Lixos de Grande Porte (SODAI GOMI),"Aqueles de uso doméstico (que podem ser carregados por 2 pessoas) podem ser descartados no ""lixo de grande porte"". Exceto o citado, solicite a coleta a uma empresa especializada.",Moradia
abc,b,bomba para câmara de ar (bicicleta),Lixo Não-Combustível (MOYASENAI),"Descarte no ""lixo não-combustível"".",Lazer
pqrs,p,prego,Lixo Não-Combustível (MOYASENAI),Junte e enrole a ponta com fita adesiva para não espete e descarte.,Moradia
def,e,erva daninha,Lixo Combustível (MOYASERU),"O barro e a terra devem ser totalmente removidos. Em grandes quantidades, leve diretamente ao centro de limpeza.","Jardinagem,Agricultura"
abc,c,cortadores de capim,Lixos de Grande Porte (SODAI GOMI),"Para prevenir incêndios, utilizar completamente o combustível.","Jardinagem,Agricultura"
pqrs,p,pente,Lixo Não-Combustível (MOYASENAI),"Aqueles feito de madeira devem ser descartados no ""lixo combustível"".",Artigos de uso diario
def,f,"frasco de medicamentos (via oral)  comprimidos, granulados ou líquidos",Garrafas Vazias (AKIBIN),,Hospitalar
def,f,frasco de medicamentos (exceto via oral) de aplicação externa e tônico capilar,Lixo Não-Combustível (MOYASENAI),Descarte após esvaziá-lo completamente.,Hospitalar
def,f,frasco de inseticidas (pesticidas e produtos químicos),Coletado pelo revendedor,Consulte o revendedor.,"Jardinagem,Agricultura"
abc,c,cartela de medicamentos (cápsulas),Plástico Reciclável (PURA),,Hospitalar
pqrs,s,sapatos e tênis,Lixo Não-Combustível (MOYASENAI),,Roupas
mno,m,meias,Lixo Combustível (MOYASERU),,Roupas
abc,a,almofadas,Lixo Combustível (MOYASERU),Até do tamanho do saco de lixo especifico.,Moradia
abc,c,copo de vidro,Lixo Não-Combustível (MOYASENAI),,Alimentos
pqrs,s,saco de plástico da lavanderia,Plástico Reciclável (PURA),,Roupas
abc,c,clipes,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,c,cadeira de rodas,Lixos de Grande Porte (SODAI GOMI),,Hospitalar
ghi,g,giz de cera e similares,Lixo Combustível (MOYASERU),,Artigos de uso diario
jkl,l,luvas (beisebol),Lixo Não-Combustível (MOYASENAI),,Lazer
abc,c,caixa térmica,Lixos de Grande Porte (SODAI GOMI),,Lazer
jkl,l,lâmpada fluorescente,Lixo Tóxico (YUGAI GOMI),,Aparelhos eletricos
abc,c,calculadora,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
abc,c,celular,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Coletado pelo revendedor,,Aparelhos eletricos
ghi,g,garrafa de vidro de cosmético,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
pqrs,s,sandália japonesa (GUETA),Lixo Combustível (MOYASERU),,Roupas
def,f,frasco de ketchup,Plástico Reciclável (PURA),Lave completamente o interior antes de descartar. Os frascos de maionese também devem ser lavados da mesma forma.,Alimentos
abc,a,aparelho da pressão ou esfigmomamômetro,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Os aparelhos doméstico que contém mercúrio devem ser levados diretamente ao centro de limpeza (é necessário pagar taxa extra).Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Hospitalar
pqrs,p,plástico duro,Lixo Não-Combustível (MOYASENAI),"Lixos pesados como a bola de boliche, etc. devem levados diretamente ao centro de limpeza., tel:28-1370.",Artigos de uso diario
def,f,ferramentas,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Artigos de uso diario
ghi,g,goggles (óculos),Lixo Não-Combustível (MOYASENAI),,Lazer
def,f,folheto de anúncios,Coleta de Papeis Velhos,,Artigos de uso diario
tuv,v,vidro de perfume,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,c,casaco,Lixo Combustível (MOYASERU),Descarte após cortar em pedaços de menos de 1 metro de comprimento.,Roupas
abc,c,cafeteira,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
pqrs,s,sabão em barra,Lixo Combustível (MOYASERU),,Artigos de uso diario
def,e,esteira-manta,Lixos de Grande Porte (SODAI GOMI),,Moradia
mno,m,mesinha kotatsu (armação e tábua),Lixos de Grande Porte (SODAI GOMI),,Aparelhos eletricos
def,f,fezes de aves,Lixo Combustível (MOYASERU),,Animais
tuv,t,tapete de borracha,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Moradia
abc,b,bolsa de golfe,Lixos de Grande Porte (SODAI GOMI),,Lazer
abc,c,concreto (inclui blocos de concreto),Não Coletado,"Entre em contato com o centro de limpeza No.2 (Kotogahara-cho), tel: 28-1370. Blocos de concreto usado como suporte do varal podem ser levados diretamente ao centro de limpeza.",Moradia
pqrs,p,preservativo,Lixo Combustível (MOYASERU),"Por questões relacionadas à higiene, é um lixo com permissão especial para ser incinerado.",Hospitalar
abc,c,cadeira sem pernas,Lixos de Grande Porte (SODAI GOMI),,Moradia
abc,c,caneta de ponta de feltro (sain-pen),Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,c,caixa de saquê,Coletado pelo revendedor,,Alimentos
pqrs,r,revistas,Coleta de Papeis Velhos,,Artigos de uso diario
abc,a,almofadas,Lixos de Grande Porte (SODAI GOMI),,Moradia
abc,c,cestos,Lixo Não-Combustível (MOYASENAI),"Os cestos feito de bambu devem ser descartados no ""lixo combustível"".",Alimentos
tuv,t,tripé,Lixos de Grande Porte (SODAI GOMI),,Lazer
tuv,t,triciclo,Lixos de Grande Porte (SODAI GOMI),,Lazer
abc,c,"CD, LD, MD, DVD",Lixo Não-Combustível (MOYASENAI),"As caixas também podem ser descartadas no ""lixo não combustível"".",Aparelhos eletricos
abc,c,CD e LD player,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
abc,a,adesivo,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,b,barbeador elétrico,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
ghi,í,ímã,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
def,e,emplasto ou cataplasma,Lixo Combustível (MOYASERU),"Por questões relacionadas à higiene, é um lixo com permissão especial para ser incinerado.",Hospitalar
abc,b,bicicleta,Lixos de Grande Porte (SODAI GOMI),,Veiculos
def,e,espada de bambu,Lixo Combustível (MOYASERU),"Corte em pedaços de 50 cm e descarte. Se for descartar sem cortar, descarte no ""lixo de grande porte"".",Lazer
def,f,fotos,Lixo Combustível (MOYASERU),"Os negativos das fotos devem ser descartados no ""lixo não combustível"".",Lazer
abc,c,câmeras,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Lazer
def,f,frasco de shampoo,Plástico Reciclável (PURA),"Esvazie completamente o conteúdo, lave o interior e descarte. Retire a bombinha e descarte.",Artigos de uso diario
