施設名称,Nome da instalação,所在地（住所）,Localização (endereço),ＡＥＤの所在詳細,Localização do AED,緯度,経度
コミュニティセンター柳荘,Centro Comunitário Yanagisō,家久町１０５－１０－１,Iehisa-chō 105-10-1,１階受付,Recepção no 1º andar,35.920468,136.171896
家久保育園,Creche Iehisa Hoikuen,家久町９４－２－１,Iehisa-chō 94-2-1,事務所横廊下,Corredor lateral do escritório,35.922534,136.166934
今立体育センター,Centro de Educação Física Imadate,岩本町１－９,Iwamoto-chō 1-9,アリーナへの入口右側,Lado direito na entrada da arena,35.90989,136.240677
認定こども園岡本,Creche certificada Okamoto Nintei Kodomoen,岩本町５－２６,Iwamoto-chō 5-26,玄関,Entrada,35.908397,136.245061
東運動公園事務所,Escritório do parque Higashi Undō Kōen,宮谷町３５－１０,Miyadani-chō 35-10,管理事務所玄関入って左側,Lado esquerdo na entrada do escritório de administração,35.8933,136.221279
神山児童館,Centro da Criança Kamiyama Jidō Kan,広瀬町１０２－４１,Hirose-chō 102-41,玄関左側壁面,Parede do lado esquerdo da entrada,35.885615,136.136792
神山小学校,Escola primária Kamiyama Shōgakko,広瀬町１０２－４３,Hirose-chō 102-43,体育館北入口,Entrada norte do ginásio esportivo,35.8857,136.135976
神山公民館,Centro Comunitário Kamiyama Kōminkan,広瀬町１０２－５５－２,Hirose-chō 102-55-2,玄関,Entrada,35.885893,136.135632
越前市武生体育センター,Centro de Educação Física Takefu de Echizen-shi,行松町２５－１０,Yukimatsu-chō 25-10,玄関よりアリーナへ入ってすぐ,Na entrada em direção da Arena,35.876425,136.167321
大虫小学校,Escola primária Omushi Shōgakko,高森町１４－１５,Takamori-chō 14-15,体育館玄関の壁,Parede da entrada do ginásio esportivo,35.906205,136.141857
かこさとしふるさと絵本館　石石,Livro de fotos Furusato Raku Kako Satoshi,高瀬一丁目１４－７,Takase 1-14-7,1階「えほんのへや」職員執務スペース,"Espaço de escritório exclusivo para funcionários no 1º andar ""sala de fotos""",35.895876,136.156968
文化センター,Centro Cultural,高瀬二丁目３－３,Takase 2-3-3,入口,Entrada,35.899588,136.159977
なかよし保育園,Creche Nakayoshi Hoikuen,高瀬二丁目４－１４,Takase 2-4-14,玄関前ホール壁面,A parede do salão em frente à entrada,35.898989,136.160809
武生中央公園　管理事務所,Escritório de Administração do Takefu Central Park,高瀬二丁目７－１２４,Takase 2-7-124,管理事務所屋内空間,Espaço interior do escritório de gestão,35.90026157,136.1574532
越前市中央図書館,Biblioteca Central de Echizen-shi,高瀬二丁目７－２４,Takase 2-7-24,カウンター前方棚(中央展示後),Prateleira frontal do balcão (após a exposição central),35.898993,136.15922
武生中央公園庭球場管理棟,"Edifício da administração de quadras de tênis do 
Parque Central Takefu",高瀬二丁目7-81,Takase 2-7-81,事務所内,Dentro do escritório,35.898471,136.156588
武生中央公園総合体育館（サブアリーナ用）,Ginásio Esportivo do Parque Central (Sub-arena),高瀬二丁目８－２３,Takase 2-8-23,玄関左側,Lado esquerdo na entrada,35.9,136.155532
武生中央公園総合体育館（メインアリーナ用）,Ginásio Esportivo do Parque Central (Arena principal),高瀬二丁目８－２３,Takase 2-8-23,事務所内,Dentro do escritório,35.9,136.155532
式部ふれあい館,Shikibu Fureai Kan,国高一丁目１３－１１,Kunitaka 1-13-11,正面玄関靴箱上,Em cima da sapateira da entrada principal,35.912437,136.184934
国高小学校,Escola primária Kunitaka Shōgakko,国高一丁目１５－５,Kunitaka 1-15-5,体育館玄関,Entrada do ginásio esportivo,35.912465,136.185416
国高公民館,Centro Comunitário Kunitaka Kōminkan,国高二丁目３２４－１３,Kunitaka 2-324-13,玄関ホール,Salão de entrada,35.911353,136.189744
国高児童センター,Centro da Criança Kunitaka Jidō Sentaa,国高二丁目３２５－３,Kunitaka 2-325-3,プレールーム入口北側壁面,Parede lateral norte na entrada da sala de brincar,35.91089,136.189385
武生東児童センター,Centro da Criança Takefu Higashi Jidō Sentaa,国府二丁目１６－８,Kokufu 2-16-8,玄関右側壁面,Parede do lado direito da entrada,35.909079,136.167439
武生東公民館,Centro Comunitário Takefu Higashi Kōminkan,国府二丁目９－１２,Kokufu 2-9-12,受付付近,Perto da recepção,35.908985,136.167833
武生東小学校,Escola primária Takefu Higashi Shōgakko,国府二丁目９－１２,Kokufu 2-9-12,体育館玄関ホール,Salão de entrada do ginásio esportivo,35.908546,136.168063
王子保小学校,Escola primária Ōshio Shōgakko,今宿町５－１４,Imajuku-chō 5-14,体育館,Ginásio esportivo,35.8665912,136.16821
武生第六中学校,Escola ginasial Takefu Dai roku Chūgakko,四郎丸町１６－１,Shirōmaru-chō 16-1,体育館玄関,Entrada do ginásio esportivo,35.86572,136.159343
王子保児童センター,Centro da Criança Ōshio Jidō Sentaa,四郎丸町５５－４－４,Shirōmaru-chō 55-4-4,玄関右側正面壁,Parede frontal do lado direito da entrada,35.866817,136.166081
王子保公民館,Centro Comunitário Ōshio Kōminkan,四郎丸町６５－２－１,Shirōmaru-chō 65-2-1,１階ロビー,Saguão do 1º andar,35.867487,136.168839
斎場,Local para cerimônia funerária,春日野町１０５－１１,Kasugano-chō 105-11,玄関ホール,Hall de entrada,35.860141,136.140726
北日野児童センター,Centro da Criança Kitahino Jidō Sentaa,小野谷町１－１３,Onodani-chō 1-13,プレールーム入り西側柱,Pilar oeste na entrada da sala de brincar,35.890077,136.19062
北日野小学校,Escola primária Kitahino Shōgakko,小野谷町２－２,Onodani-chō 2-2,体育館,Ginásio esportivo,35.889448,136.190715
上太田保育園,Creche Kamiōda Hoikuen,上太田町１１－２,Kamiōda-chō 11-2,玄関正面壁,Parede frontal da entrada,35.900567,136.151302
パピルス館,Papirusu Kan,新在家８－４４,Shinzaike 8-44,入口受付,Entrada da recepção ,35.911397,136.243336
越前市社会福祉センター(夢広場),Centro de Bem-estar Social de Echizen-shi (Yume Hiroba),杉尾町１－２７－１,Sugio-chō 1-27-1,左側玄関(夢広場),Entrada esquerda (Yume Hiroba),35.920093,136.252817
越前市社会福祉センター,Centro de bem-estar social da cidade de Echizen,杉尾町１－２７－１,Sugio-chō 1-27-1,西側玄関（管理事務室）,Entrada oeste (escritório de administração),35.920093,136.252817
南中山児童館,Centro da Criança Minaminakayama Jidō Kan,西庄境町２１－７－１,Nishishōsagai-chō 21-7-1,事務所前廊下壁面,Parede do corredor na frente do escritório,35.92925,136.248255
万葉中学校,Escola ginasial Manyō Chūgakko,西尾町４８－１８,Nishio-chō 48-18,体育館入口,Entrada do ginásio esportivo,35.892301,136.213458
武生第三中学校,Escola ginasial Takefu Dai san Chūgakko,村国二丁目３－５６,Murakuni  2-3-56,体育館玄関口,Entrada do ginásio esportivo,35.905913,136.175052
道の駅「越前たけふ」,"Estação de beira de estrada ""Echizen Takefu""",大屋町38-5-1,Oyacho 38-5-1,情報管理施設,Instalação de gerenciamento de informações,35.89526883,136.1981519
大虫公民館,Centro Comunitário Omushi Kōminkan,丹生郷町１３－２０－１,Nyūnogō-chō 13-20-1,１Fロビー,Lobby 1F,35.907655,136.141534
大虫体育館,Ginásio Esportivo Omushi,丹生郷町１３－２０－１,Nyūnogō-chō 13-20-1,体育館事務所内,Dentro do escritório do ginásio esportivo,35.907912,136.141503
大虫児童館,Centro da Criança Omushi Jidō Sentaa,丹生郷町１３－２０－４,Nyūnogō-chō 13-20-4,玄関右側カウンター,balcão do lado direito da entrada,35.908122,136.141507
越前千代鶴の館（越前打刃物振興施設）,Echizen Chiyozuru House (instalação de promoção de talheres Echizen),池ノ上町４８－６－１,Ikenokami-chō 48-6-1,事務所前,Na frente do escritório,35.87560236,136.1469383
味真野児童センター,Centro da Criança Ajimano Jidō Sentaa,池泉町１４－１,Ikeizumi-chō 14-1,玄関正面壁,Parede frontal da entrada,35.8906,136.234207
味真野小学校,Escola primária Ajimano Shōgakko,池泉町９－１,Ikeizumi-chō 9-1,体育館玄関,Entrada do ginásio esportivo,35.890705,136.233361
越前市武道館,Echizen-shi Budōkan (Salão de Artes Marciais),中央一丁目８－１５－１,Chūō 1-8-15-1,玄関入って正面,A frente na entrada,35.900906,136.156469
武生西小学校,Escola primária Takefu Nishi Shōgakko,中央二丁目２－１３,Chūō 2-2-13,体育館南西側壁面,Parede lateral do lado sudoeste do ginásio esportivo,35.902282,136.158139
武生西児童センター,Centro da Criança Takefu Nishi Jidō Sentaa,中央二丁目４－１０,Chūō 2-4-10,プレイルーム入口,Entrada da sala de brincar,35.902509,136.15687
西公民館,Centro Comunitário Nishi Kōminkan,中央二丁目５－３５,Chūō 2-5-35,玄関入り右側,Entrada do ginásio esportivo no lado direito,35.902115,136.156557
南中山小学校,Escola primária Minaminakayama Shōgakko,中津山町３８－１３－２,Nakatsuyama-chō 38-13-2,体育館,Ginásio esportivo,35.929642,136.247069
認定こども園南中山,Creche certificada Minaminakayama Nintei Kodomoen,中津山町４１－１３－２,Nakatsuyama-chō 41-13-2,玄関ホール右,Salão de entrada no lado direito,35.929618,136.246085
岡本児童館,Centro da Criança Okamoto Jidō Kan,定友町１０－１５,Sadatomo-chō 10-15,玄関左側壁,Parede do lado esquerdo da entrada,35.915164,136.245159
岡本小学校,Escola primária Okamoto Shōgakko,定友町１０－１５,Sadatomo-chō 10-15,体育館,Ginásio esportivo,35.915276,136.244924
岡本公民館,Centro Comunitário Okamoto Kōminkan,定友町１０－２－２,Sadatomo-chō 10-2-2,１階ロビー,Saguão do 1º andar,35.91384,136.244898
越前市今立図書館,Biblioteca Imadate de Echizen-shi,定友町２１－３－１,Sadatomo-chō 21-3-1,受付カウンター後方棚,Prateleira traseira do balcão da recepção,35.919203,136.247172
白山小学校,Escola primária Shirayama Shōgakko,都辺町２４－２,Tobe-chō 24-2,体育館玄関正面,Entrada do ginásio esportivo na frente,35.88802,136.052779
武生第五中学校,Escola ginasial Takefu Dai go Chūgakko,都辺町３６－７３,Tobe-chō 36-73,体育館玄関,Entrada do ginásio esportivo,35.888484,136.056771
白山公民館,Centro Comunitário Shirayama Kōminkan,都辺町３６－８４,Tobe-chō 36-84,１階ロビー,Saguão do 1º andar,35.887877,136.05577
ふるさとギャラリー叔羅,Galeria Furusato Shikura,東千福町１７－１７,Higashisenpuku-chō 17-17,常設展示室前階段登り口,Entrada pelas escadas em frente à sala de exposições permanentes,35.889008,136.158749
紫ゆかりの館,Casa relacionada a Murasaki,東千福町21−12,Higashisenpuku21-12,しるべの間,Shirube no Ma,35.890253,136.156634
坂口公民館,Centro Comunitário Sakaguchi Kōminkan,湯谷町２４－１８－１,Yuya-chō 24-18-1,玄関,Entrada,35.85991,136.08709
坂口小学校,Escola primária Sakaguchi Shōgakko,湯谷町２４－２５,Yuya-chō 24-25,体育館玄関,Entrada do ginásio esportivo,35.859022,136.08713
服間小学校,Escola primária Fukuma Shōgakko,藤木町１２－１１,Fujinoki-chō 12-11,体育館,Ginásio esportivo,35.935436,136.265032
認定こども園服間,Creche certificada Fukuma Nintei Kodomoen,藤木町１２－３４,Fujinoki-chō 12-34,玄関ロビー,Salão de entrada,35.935542,136.264013
服間児童館,Centro da Criança Fukuma Jidō Kan,藤木町１２－４３,Fujinoki-chō 12-43,玄関正面壁,Parede frontal da entrada,35.934603,136.263621
白崎公園屋内ゲートボール場,Campo de Gateball interno Shirosaki Kōen ,白崎町35-23-1,Shirosaki-chō 35-23-1,玄関入って右側,Lado direito na entrada,35.8649,136.142883
越前市福祉健康センター,Centro de Bem-estar Social de Echizen-shi,府中一丁目１１－２,Fuchū 1-11-2,センター受付,Recepção central,35.904633,136.170351
市民プラザたけふ,Praça Cívica Takefu,府中一丁目１１－２,Fuchu 1-11-2,多目的室１前,Em frente à sala polivalente 1,35.90420618,136.1703909
健康増進課,Divisão de Promoção da Saúde,府中一丁目１３－７,Fuchū 1-13-7,健康増進課,Divisão de Promoção da Saúde,35.90388974,136.1688023
市役所本庁舎,Prefeitura Municipal,府中一丁目１３－７,Fuchū 1-13-7,１F総合案内,Informação Geral 1º andar,35.9038898,136.1688043
市役所本庁舎,Prefeitura Municipal,府中一丁目１３－７,Fuchū 1-13-7,3F財産管理課カウンター付近,Perto do balcão da Seção de Administração de Imóveis no 3º andar,35.9038898,136.1688043
武生中央公園温水プール,Piscina Aquecida Takefu Central Park,府中一丁目１３－７,Fuchu 1-13-7,温水プール事務所内,Dentro do escritório da piscina aquecida,35.89829311,136.1560517
武生南児童センター,Centro da Criança Takefu Minami  Jidō Sentaa,武生柳町１１－２８,Takefuyanagi-chō 11-28,プレイルーム南西廊下壁面,Parede do corredor sudoeste da sala de brincar,35.895554,136.164719
南公民館,Centro Comunitário Minami Kōminkan,武生柳町１２－２７,Takefuyanagi-chō 12-27,２階大和室前廊下壁面,Parede do corredor frontal da sala estilo japonês no 2º andar,35.895331,136.164074
武生南小学校,Escola primária Takefu Minami Shōgakko,武生柳町１３－２０,Takefuyanagi-chō 13-20,体育館,Ginásio esportivo,35.894355,136.164619
武生第一中学校,Escola ginasial Takefu Dai ichi Chūgakko,平出一丁目６－１,Hiraide 1-6-1,体育館玄関ホール,Salão de entrada do ginásio esportivo,35.907968,136.158234
金華山グリーンランド,Greenland Kinkazan,米口町５８－２５,Komeguchi-chō 58-25,管理棟玄関内,Dentro da entrada do prédio da administração,35.866066,136.057271
八ツ杉森林学習センター,Centro de Aprendizagem Yatsusugi Shinrin,別印町１９－１－１,Betsuin-chō 19-1-1,宿泊棟玄関内左側,Lado esquerdo na entrada do edifício de alojamento,35.887956,136.307974
武生公会堂記念館,Salão Memorial do Salão Público de Takefu,蓬莱町８－８,Cidade de Horai 8-8,1階事務所内,Dentro do escritório no 1º andar,35.90178115,136.1683153
認定こども園北新庄,Creche certificada Kitashinjō Nintei Kodomoen,北町３８－６,Kita-chō 38-6,エントランス,Entrada,35.913957,136.209114
北新庄小学校,Escola primária Kitashinjō Shōgakko,北町４７－６,Kita-chō 47-6,体育館西側器具室前の壁,A parede em frente à sala de equipamentos do lado oeste do ginásio esportivo,35.913959,136.210044
北新庄児童館,Centro da Criança Kitashinjō Jidō Kan,北町５４－２５,Kita-chō 54-25,児童館入口廊下,Corredor de entrada da casa das crianças,35.912674,136.211103
北新庄体育館,Ginásio Esportivo Kitashinjō,北町５４－２５,Kita-chō 54-25,北新庄公民館,Centro comunitário Kitashinjō Kominkan,35.912632,136.211099
吉野小学校,Escola primária Yoshino Shōgakko,本保町１７－１,Honbo-chō 17-1,体育館玄関,Entrada do ginásio esportivo,35.925811,136.15744
吉野公民館,Centro Comunitário Yoshino Kōminkan,本保町１９－６,Honbo-chō 19-6,玄関前棚上,Na prateleira em frente à entrada,35.926424,136.15828
吉野児童館,Centro da Criança Yoshino Jidō Kan,本保町１９－９－１ ,Honbo-chō 19-9-1,玄関ホール奥,parte de trás do hall de entrada,35.925337,136.158705
味真野公民館,Centro Comunitário Ajimano Kōminkan,味真野町７－２－１,Ajimano-chō 7-2-1,１階ロビー,Saguão do 1º andar,35.887373,136.226656
越前市弓道場,Kyūdōjō (Arco e flecha) de Echizen-shi,妙法寺町３６－２－１,Myohōjichō 36-2-1,玄関入って左側壁面,Parede do lado esquerdo na entrada,35.886598,136.161018
武生第二中学校,Escola ginasial Takefu Dai ni Chūgakko,妙法寺町４２－１５,Myohōji-chō 42-15,体育館玄関ホール,Salão de entrada do ginásio esportivo,35.887209,136.160787
南越中学校,Escola ginasial Nan-etsu Chūgakko,野岡町２８－４,Nooka-chō 28-4,体育館左側壁,Parede do lado esquerdo do ginásio esportivo,35.926095,136.249679
認定こども園北日野,Creche certificada Kitahino Nintei Kodomoen,矢放町１６－４,Yahanashi-chō 16-4,玄関,Entrada,35.888842,136.187646
北日野公民館,Centro Comunitário Kitahino Kōminkan,矢放町２１－１１,Yahanashi-chō 21-11,玄関,porta da frente,35.889667,136.188638
北日野体育館,Ginásio Esportivo Kitahino,矢放町２１－１１,Yahanashi-chō 21-11,玄関入って右側壁面,Parede do lado direito na entrada,35.889644,136.188729
万葉菊花園,Manyou Kikka-En (Salão do crisântemo),余川町２２－９６－１,Yokawa-chō 22-96-1,玄関ホール右壁,Parede direita do salão de entrada,35.886781,136.237665
,,,,,,,
