https://schema.org/name,https://schema.org/address,https://schema.org/Place,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#institution,https://schema.org/telephone,https://schema.org/opens,https://schema.org/price,https://schema.org/description
北日野児童センター（てんとうむしクラブ）,越前市小野谷町1-13,,子ども福祉課,福祉,北日野児童センター,赤ちゃん・親子教室,35.8901592,136.1905978,北日野,（福）越前市社会福祉協議会,0778-22-1176,赤ちゃん教室（第2・3・4火曜日）　親子教室（第2・3・4火曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
北新庄児童館（こぶたクラブ）,越前市北町54-25,,子ども福祉課,福祉,北新庄児童館,赤ちゃん・親子教室,35.9126571,136.2089027,北新庄,（福）越前市社会福祉協議会,0778-42-7601,赤ちゃん教室（第2・3・4火曜日）　親子教室（第2・3・4火曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
味真野児童センター（どんぐりクラブ）,越前市池泉町14-1,,子ども福祉課,福祉,味真野児童センター,赤ちゃん・親子教室,35.8906018,136.2342279,味真野,（福）越前市社会福祉協議会,0778-27-8998,赤ちゃん教室（第1･2･3火曜日）　親子教室（第1･2･3火曜日）10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
岡本児童館（にこにこクラブ岡本）,越前市定友町10-15,,子ども福祉課,福祉,岡本児童館,親子教室,35.9149352,136.2429961,岡本,（福）越前市社会福祉協議会,0778-43-0974,第2木曜日10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
南中山児童館（にこにこクラブ南中山）,越前市西庄境町21-7-1,,子ども福祉課,福祉,南中山児童館,親子教室,35.9292199,136.2481619,南中山,（福）越前市社会福祉協議会,0778-43-0991,第2木曜日10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
服間児童館（にこにこクラブ服間）,越前市藤木町12-43,,子ども福祉課,福祉,服間児童館,親子教室,35.9349054,136.2636743,服間,（福）越前市社会福祉協議会,0778-43-1722,第4木曜日10時半～11時半,,就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
社会福祉センター（にこにこクラブ今立）,越前市杉尾町1-27-1,,子ども福祉課,福祉,社会福祉センター,赤ちゃん・親子教室,35.920093,136.252817,岡本,（福）越前市社会福祉協議会,0778-42-0300,赤ちゃん教室（第1木曜日）　親子教室（第3木曜日）10時半～11時半,,今立地区合同で就園前の乳幼児を対象に同じ年齢で集う楽しさを体感したり、親・保護者同士の交流の場として、集団遊び・造形遊び・季節の行事などの活動をしています。
武生東児童センター（東児童クラブ）,越前市国府二丁目16-8,,子ども福祉課,福祉,武生東児童センター,児童クラブ（学童保育）,35.9086618,136.1675216,東,（福）越前市社会福祉協議会,0778-24-5229,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
武生西児童センター（西児童クラブ）,越前市中央二丁目4-10,,子ども福祉課,福祉,武生西児童センター,児童クラブ（学童保育）,35.9025011,136.1568978,西,（福）越前市社会福祉協議会,0778-23-4893,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
武生南児童センター（南児童クラブ）,越前市武生柳町11-28,,子ども福祉課,福祉,武生南児童センター,児童クラブ（学童保育）,35.8955577,136.1647306,南,（福）越前市社会福祉協議会,0778-23-5892,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
神山児童館（神山児童クラブ）,越前市広瀬町102-41,,子ども福祉課,福祉,神山児童館,児童クラブ（学童保育）,35.9098814,136.2406742,神山,（福）越前市社会福祉協議会,0778-42-5573,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
吉野児童館（吉野児童クラブ）,越前市本保町19-9-1,,子ども福祉課,福祉,吉野児童館,児童クラブ（学童保育）,35.9255845,136.1585719,吉野,（福）越前市社会福祉協議会,0778-29-3230,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
国高児童センター（第1国高児童クラブ）,越前市国高二丁目325-3,,子ども福祉課,福祉,国高児童センター,児童クラブ（学童保育）,35.9108844,136.1893723,国高,（福）越前市社会福祉協議会,0778-21-5055,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
国高幼稚園（第2国高児童クラブ）,越前市国高二丁目319-3,,子ども福祉課,福祉,国高幼稚園,児童クラブ（学童保育）,35.9123647,136.1870559,国高,（福）越前市社会福祉協議会,0778-22-4555,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
大虫児童館（大虫児童クラブ）,越前市丹生郷町13-20-4,,子ども福祉課,福祉,大虫児童館,児童クラブ（学童保育）,35.9081222,136.1415077,大虫,（福）越前市社会福祉協議会,0778-25-0770,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
王子保児童センター（王子保児童クラブ）,越前市四郎丸町55-4-4,,子ども福祉課,福祉,王子保児童センター,児童クラブ（学童保育）,35.8668168,136.1660813,王子保,（福）越前市社会福祉協議会,0778-24-2299,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
北日野児童センター（北日野児童クラブ）,越前市小野谷町1-13,,子ども福祉課,福祉,北日野児童センター,児童クラブ（学童保育）,35.8901592,136.1905978,北日野,（福）越前市社会福祉協議会,0778-22-1176,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
北新庄児童館（北新庄児童クラブ）,越前市北町54-25,,子ども福祉課,福祉,北新庄児童館,児童クラブ（学童保育）,35.9126571,136.2089027,北新庄,（福）越前市社会福祉協議会,0778-42-7601,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
味真野児童センター（味真野児童クラブ）,越前市池泉町14-1,,子ども福祉課,福祉,味真野児童センター,児童クラブ（学童保育）,35.8906018,136.2342279,味真野,（福）越前市社会福祉協議会,0778-27-8998,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
岡本児童館（岡本児童クラブ）,越前市定友町10-15,,子ども福祉課,福祉,岡本児童館,児童クラブ（学童保育）,35.9149352,136.2429961,岡本,（福）越前市社会福祉協議会,0778-43-0974,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
南中山児童館（南中山児童クラブ）,越前市西庄境町21-7-1,,子ども福祉課,福祉,南中山児童館,児童クラブ（学童保育）,35.9292199,136.2481619,南中山,（福）越前市社会福祉協議会,0778-43-0991,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
服間児童館（服間児童クラブ）,越前市藤木町12-43,,子ども福祉課,福祉,服間児童館,児童クラブ（学童保育）,35.9349054,136.2636743,服間,（福）越前市社会福祉協議会,0778-43-1722,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
二葉保育園（ふたばキッズ）,越前市五分市町3-6-1,,子ども福祉課,福祉,二葉保育園,児童クラブ（学童保育）,35.8913517,136.227798,味真野,（福）華光会,0778-27-1328,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
わかたけ認定こども園（わかたけ児童クラブ）,越前市高森町18-7-2,,子ども福祉課,福祉,わかたけ認定こども園,児童クラブ（学童保育）,35.9057254,136.1459989,大虫,（福）わかたけ共済部,0778-22-6203,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
南保育園（いるかクラブ）,越前市若竹町12-23,,子ども福祉課,福祉,南保育園,児童クラブ（学童保育）,35.893122,136.1671582,南,（福）和楽園,0778-22-3214,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
西保育園（うさぎクラブ）,越前市新保町32-10,,子ども福祉課,福祉,西保育園,児童クラブ（学童保育）,35.9072809,136.1517593,西,（福）和楽園,0778-22-7151,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
国高保育園（くじら組）,越前市村国一丁目9-8,,子ども福祉課,福祉,国高保育園,児童クラブ（学童保育）,35.9070625,136.1829981,国高,（福）和楽園,0778-23-0983,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
高瀬保育園（ほしクラブ）,越前市文京二丁目4-3,,子ども福祉課,福祉,高瀬保育園,児童クラブ（学童保育）,35.8946383,136.1611365,南,（福）和楽園,0778-23-5203,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
味真野保育園（いちばんぼし）,越前市上大坪町28-3,,子ども福祉課,福祉,味真野保育園,児童クラブ（学童保育）,35.8859107,136.2267871,味真野,（福）育聖会,0778-27-2203,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
そよかぜ保育園（そよかぜ児童クラブ）,越前市高木町12-7-1,,子ども福祉課,福祉,そよかぜ保育園,児童クラブ（学童保育）,35.9282074,136.1904939,国高,（福）わかたけ共済部,0778-24-0340,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
白山小学校体育館（しらやま学童クラブ）,越前市都辺町24-2,,子ども福祉課,福祉,白山小学校（体育館）,児童クラブ（学童保育）,35.9120281,136.0776142,白山,しらやま振興会,0778-29-2150,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
エコビレッジ交流センター（坂口ひだまりクラブ）,越前市湯谷町25-25-2,,子ども福祉課,福祉,エコビレッジ交流センター,児童クラブ（学童保育）,35.8602071,136.0869897,坂口,坂口ひだまりクラブ,0778-28-1123,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
野尻医院（てまり）,越前市平出一丁目12-37,,子ども福祉課,福祉,野尻医院,児童クラブ（学童保育）,35.9089838,136.1598029,西,（医）野尻医院,0778-22-0305,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
認定こども園あわたべ（粟田部学童ルーム）,越前市粟田部町46-2,,子ども福祉課,福祉,認定こども園あわたべ,児童クラブ（学童保育）,35.9133547,136.2405742,粟田部,（福）町屋福祉会,0778-42-0493,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
認定こども園里山ほのか学園（わくわく）,越前市氷坂町14-2-1,,子ども福祉課,福祉,認定こども園里山ほのか学園,児童クラブ（学童保育）,35.9246038,136.148098,吉野,（福）慶秀会,0778-23-0030,,,働いている保護者にとって、子どもが保育園から小学校に入学して、放課後毎日子どもだけで留守番することは、大変心配なものです。このため、おもに小学校低学年のお子さんを中心にお預かりするのが、学童保育です。
花筐児童館,越前市粟田部町17-17,,子ども福祉課,福祉,花筐児童館,自由来館のみ,35.9190541,136.2393992,粟田部,（福）越前市社会福祉協議会,0778-43-0990,,,児童センター・児童館では、いろいろな年齢の子どもたちがあそびや行事を通して、助け合う心や工夫する力を育て、健康で心の豊かな子になることを目指しています。赤ちゃん・親子教室の活動は、社会福祉センターで実施している今立地区合同の教室「にこにこクラブ」をご利用ください。
ＮＰＯ法人子どもセンターピノキオ,越前市府中一丁目11-2,市民プラザたけふ3階,子ども福祉課,福祉,市民プラザたけふ3階,すみずみ子育てサポート事業,35.9053539,136.1703215,東,ＮＰＯ法人子どもセンターピノキオ,0778-23-8211,年末年始・お盆(8/14、15、16)を除く月～土、9時～17時、最長7時間、時間については相談に応じます,一時預かり：1人あたり550円/1時間、生活支援：1人あたり670円/1時間（交通費別途）、登録料450円,就職活動、疾病、事故その他のやむを得ない事由により家庭での保育が困難なとき、子育て家庭と妊婦家庭（初産）を支援します。（妊婦家庭（初産）へのサポートは生活支援（家事援助）のみです。）
きらめきくらしのサポート,福井市開発5丁目1603,,子ども福祉課,福祉,県民せいきょう本部センター内,すみずみ子育てサポート事業,35.9039314,136.1534425,,福井県民生活協同組合,0776-52-0655,12/29~1/3を除く9時～19時、時間外のご利用は要相談,"1人あたり1,020円/1時間～、登録料1,000円、交通費別途、時間外・土日祝日は割増有",就職活動、疾病、事故その他のやむを得ない事由により家庭での保育が困難なとき、子育て家庭と妊婦家庭（初産）を支援します。（妊婦家庭（初産）へのサポートは生活支援（家事援助）のみです。）
ハーツきっずたけふ,越前市芝原四丁目6-21,,子ども福祉課,福祉,ハーツたけふ,すみずみ子育てサポート事業,35.9197796,136.1580582,吉野,福井県民生活協同組合,0120-54-3415,祝祭日、年末年始、お盆、GWを除く月～土8時30分～17時30分,"1人あたり400円/1時間、登録料1,000円",就職活動、疾病、事故その他のやむを得ない事由により家庭での保育が困難なとき、子育て家庭と妊婦家庭（初産）を支援します。（妊婦家庭（初産）へのサポートは生活支援（家事援助）のみです。）
複合型デイサービス「てまり」,越前市平出一丁目12-37,,子ども福祉課,福祉,野尻医院,すみずみ子育てサポート事業,35.9089838,136.1598029,西,（医）野尻医院,0778-22-0305,月～土9時～17時30分,1人あたり400円/1時間、登録料無料,就職活動、疾病、事故その他のやむを得ない事由により家庭での保育が困難なとき、子育て家庭と妊婦家庭（初産）を支援します。（妊婦家庭（初産）へのサポートは生活支援（家事援助）のみです。）
ままのて,越前市平出一丁目12-37,,子ども福祉課,福祉,野尻医院,病児保育・病後児保育,35.9089838,136.1598029,西,（医）野尻医院,0778-22-5000,月～土午前8時30分～午後5時30分(日曜日・祝日・お盆・年末年始は休み）,"1日2,000円",お子さんが病気または病気回復期に保護者の仕事の都合、傷病、事故、出産、冠婚葬祭などの理由で看護できないとき、一時的にお子さんをお預かりいたします。
一陽（児童養護施設）,越前市行松町26-2-2,,子ども福祉課,福祉,一陽,児童養護施設,35.8808344,136.1608453,王子保,（福）越前自立支援協会,0778-43-5514,,,一陽は、事故や災害、病気や失業など、さなざまな家庭事情で家族と一緒に生活することができない子どもたちに、衣食住の確保や就学などの権i利を保障し、健全な社会人として自立できるよう支援しています。
一陽（児童家庭支援センター）,越前市行松町26-2-2,,子ども福祉課,福祉,一陽,児童家庭支援センター,35.8808344,136.1608453,王子保,（福）越前自立支援協会,0778-43-5514,,,一陽は、児童虐待をはじめとする要保護児童や発達障がい児等に関する相談のうち、特に専門的な知識・技術を必要とする相談に応じるとともに、児童相談所からの委託を受けた児童及びその家族への指導、さらには丹南地域の基礎自治体による子ども家庭相談支援をバックアップする児童福祉の専門援助機関です。
一陽（子どもショートステイ）,越前市行松町26-2-2,,子ども福祉課,福祉,一陽,子どもショートステイ,35.8808344,136.1608453,王子保,（福）越前自立支援協会,0778-43-5514,原則として7日間以内(宿泊可),"【24時間以内】2,750円(2歳以上児)",保護者が病気や看護、または出産・出張などのため、家庭で養育できなくなったお子さんを、一定期間お預かりします。
一陽（子どもトワイライトステイ）,越前市行松町26-2-2,,子ども福祉課,福祉,一陽,子どもトワイライトステイ,35.8808344,136.1608453,王子保,（福）越前自立支援協会,0778-43-5514,午後5時頃から9時頃まで,"1,000円/回",保護者の仕事が夜間におよぶ場合、子どもだけで留守番させることのないように、お子さんをお預かりします。
ＮＰＯ法人子どもセンターピノキオ,越前市府中一丁目11-2,市民プラザたけふ3階,子ども福祉課,福祉,市民プラザたけふ3階,地域子育て支援センター,35.9053539,136.1703215,東,ＮＰＯ法人子どもセンターピノキオ,0778-23-8211,毎日9時30分～17時30分,,子育てをしている方を対象に、親子教室を開催したり、子育て相談に対応しています。
地域子育て支援センター「フォルマシオーン」,越前市村国一丁目9-8,国高保育園内,子ども福祉課,福祉,国高保育園,地域子育て支援センター,35.9070625,136.1829981,国高,（福）和楽園,0778-23-6318,プレイルーム：月～金9時～15時、園庭：9時～17時,,子育てをしている方を対象に、親子教室を開催したり、子育て相談に対応しています。
地域子育て支援センター「いまだて」,越前市粟田部町46-2,認定こども園あわたべ内,子ども福祉課,福祉,認定こども園あわたべ,地域子育て支援センター,35.9133547,136.2405742,粟田部,（福）町屋福祉会,0778-42-2511,月～金9時～14時、子育て相談：9時～17時,,子育てをしている方を対象に、親子教室を開催したり、子育て相談に対応しています。
地域子育て支援センター一陽,越前市新町7-8,シピィ2F,子ども福祉課,福祉,シピィ2F,地域子育て支援センター,35.8958825,136.1547759,西,（福）越前自立支援協会,090-3764-0862,月～金10時～15時,,子育てをしている方を対象に、親子教室を開催したり、子育て相談に対応しています。
てんぐちゃん広場,越前市府中一丁目11-2,市民プラザたけふ3階,子ども福祉課,福祉,市民プラザたけふ3階,屋内子ども広場,35.9053539,136.1703215,東,越前市役所　子ども福祉課　子ども・子育て総合相談室,0778-22-3628,開館時間9時30分～17時30分　休館日12月29日～1月3日,入場無料,親子のふれあいと、子どもたちの自立を育むあそび場として、加古総合研究所が監修した屋内広場です。対象年齢は、おおむね12歳までです。
ＮＰＯ法人子どもセンターピノキオ,越前市府中一丁目11-2,市民プラザたけふ3階,子ども福祉課,福祉,市民プラザたけふ3階,子ども・子育て相談,35.9053539,136.1703215,東,ＮＰＯ法人子どもセンターピノキオ,090-9761-9436,開設時間10時～15時　休館日12月29日～1月3日,,子ども・子育て相談窓口では、子どもや子育てに関する相談に対応しています。また、保育園や子育て支援サービス等の利用についての相談にも対応しています。
