https://schema.org/name,https://schema.org/address,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/category,https://schema.org/Season,https://schema.org/description,https://schema.org/url,https://code4fukui.github.io/rdf/#echizen_city_area
帆山寺,越前市住吉町1-24,35.899065,136.17069,神社・仏閣,,山号（観音山）　天台宗のお寺で、ご本尊は奈良時代に高僧泰澄大師の作と伝えられる秘仏の千手観音で33年毎に開帳される。「おびんずるさん」と呼ばれる撫で仏はにんまり笑って本堂入り口に鎮座しており、自分の身体の悪い部分と同じところを撫でると治ると言われている。拝観可。　駐車場：有（10台）　アクセス：JR武生駅から徒歩6分　電話番号：0778-22-4074,,東
紫式部公園,越前市東千福町20,35.889921,136.15768,公園・広場,,越前市武生で１年余りを過ごした紫式部を偲び、平安時代の貴族の住居を模して、池や築山を配置した全国で唯一の寝殿造の庭園を再現した公園。越前富士・日野山を借景にした雅やかな庭園と約200mもある芝生公園の藤棚、金色の紫式部像がみどころ。　駐車場：有（無料休憩ｊ所　藤波亭の駐車場をご利用ください）　アクセス：JR武生駅から徒歩約32分、車で9分　電話番号：0778-22-7133（藤波亭）,,南
月光寺,越前市南1丁目2-12,35.890476,136.16645,神社・仏閣,,山号（大仏山）　天保年間（1830～44）に起こった大飢餓で餓死した人たちを供養するために、弘化4年（1847）に建立されたもの。（武生三大仏のひとつ）。本堂にはつややかな美しい銅製の大仏が鎮座し、当初は露仏で、大仏の中から先祖の供養名を書いた石が500個くらい見つかったといわれている。　駐車場：有（30台）　アクセス：JR武生駅から徒歩20分　電話番号：0778-22-6367,,南
神明神社（上総社）,越前市若竹町11-19,35.892697,136.166889,神社・仏閣,,第26代継体天皇の時代、この地に社跡があったので天照皇大神を祭る社が建立された。しかし、その後の戦乱の世で荒れ果てたため、寛文年間（1661～）に領主・本多昌長によって再建。この場所で日野山を拝み、旅人たちが旅の無事を祈願したことから、「ふしょうがみさん」の愛称で地元の人たちから親しまれている。上総社（神明神社）の薬師如来坐像は越前市の指定文化財。　駐車場：有（10台）　アクセス：JR武生駅から徒歩17分,,南
窓安寺,越前市南3丁目1-5,35.893472,136.165614,神社・仏閣,,山号（泰清山）　天台宗の寺で朝倉氏の帰依を受けたと伝えられ、室町後期に現在の地に移ったと伝えられている。窓安寺の境内に安置されている石仏２体と本堂に安置されている木造四天王立像は越前市の指定文化財。　駐車場：有（10台）　アクセス：JR武生駅から徒歩18分　電話番号：0778-23-0439,,南
ふるさとギャラリー叔羅,越前市東千福町17-17,35.889015,136.158792,博物館・美術館・資料館,,市民ギャラリーとして年間を通して、多くの個人、団体の展示会が開催されている。「叔羅」という名称は、万葉の歌人大伴家持が日野川を詠んだ歌「叔羅河」から引用したもので、この言葉には、美しく良いものが並んでいるという意味に通じるものがある。　駐車場：有（5～6台）アクセス：JR武生駅から車で9分　営業時間：10：00～18:00（入館は17:30まで）　定休日：月曜日、国民の祝日の翌日、年末年始　電話番号：0778-23-5811,,南
宝円寺,越前市高瀬1丁目25-4,35.894624,136.158645,神社・仏閣,,山号（太白山）　嘉慶2年（1388）正祖禅師が創建した曹洞宗の寺院で、秘仏聖観世音は御尊像（七難去って七福来る）で、山門には勇ましい仁王像が立っている。天正年間に府中三人衆の一人であった前田利家がこの寺を保護した。前田利家は、その後、能登に次いで加賀百万石を領し金沢にも宝円寺を創建した。墓地に前田利家の両親の供養塔がある。また、幕末まで加賀藩の庇護を受け、住職は参勤交代の行列を上総社（若竹町）で送迎したという。拝観可（電話確認）　アクセス：JR武生駅から徒歩20分　電話番号：0778-22-1645,,南
毫攝寺,越前市清水頭町2-9,35.892211,136.226745,神社・仏閣,,欅造り赤瓦山門が荘重な雰囲気を伝える浄土真宗出雲路派の本山。天福元年（1233）、親鸞上人によって京都の出雲路に創建され、慶長年間に今の場所に移された。広々とした境内に御影堂、阿弥陀堂、経蔵、鐘楼などが整然と並び、自然と厳かな気持ちになる。8月27日、28日の大寄りは、多くの参拝客でにぎわう。　駐車場：有（10台程）　アクセス：JR武生駅から車で20分　電話番号：0778-27-1224,,味真野
小丸城跡,越前市五分市町,35.898022,136.230157,城（城址）・史跡,,織田信長の家臣、佐々成政が天正１３年（１575）に築いた平城の跡。内堀・外堀も造られ城全域は東西300ｍ、南北350ｍといわれている。前田利家が一向一揆衆を弾圧した様子を記した文字瓦が発掘され、この瓦の実物は、万葉の里の資料館「万葉館」にて観賞できる。　駐車場：有（10台）　アクセス：JR武生駅から車で22分,,味真野
城福寺庭園,越前市五分市町11-26,35.892529,136.23057,城（城址）・史跡,,元禄年間（1688～1704）につくられた借景築山式蓬莱枯山水の苔庭が有名で、国の名勝に指定されている。庭から見える日野山系の山並みを借景とし、築山の左にある柊の大木（市指定天然記念物。枝の端から端まで15m）を手前の山と見なし、庭一面の苔の起伏は波を表している。春は椿、初夏はつつじ、秋は紅葉、初冬の柊と、一年を通して美しい自然に触れることができる。　駐車場：有　アクセス：JR武生駅から車で23分　見学料：大人500円（要予約）　電話番号：0778-27-1773,,味真野
霊泉寺,越前市池泉町11-26,35.886683,136.232482,神社・仏閣,,鞍谷御所跡に近い霊泉寺は、応仁の乱（1467～77）の時、弟義廉と斯波氏の相続を争って越前に下ったといわれる斯波義敏が文明10年（1484）に出家して興してと伝えられている。黒漆塗りの木造の大仏（武生三大仏のひとつ）が安置されている。黒漆塗りの木造の大仏は高さが8ｍあり、立像であるのが珍しいといわれている。　駐車場：有（10台程）　アクセス：JR武生駅から車で20分　電話番号：0778-27-1118,,味真野
味真野神社,越前市池泉町21-18,35.88684,136.235091,神社・仏閣,,室町時代、管領斬波氏が移り住み、鞍谷姓を名乗って暮らしていた伝えられ、神社境内が館跡となることから、鞍谷御所跡といわれている。その鞍谷氏の城館の土塁の一部が残っている。また、継体天皇を祀る神社として昔から人々に親しまれている神社で、謡曲「花筐」の記念碑も建てられている。　駐車場：無　アクセス：JR武生駅から車で20分,,味真野
万葉の里味真野苑,越前市余川町55-1,35.885433,136.23768,自然・花,,継体天皇ゆかりの地・味真野は、万葉集とも関わりが深いことでも有名。継体天皇の花がたみ像のほか、万葉集の歌碑がある。苑内では、四季折々咲く花とともに万葉の植物を鑑賞することができる。　駐車場：有（50台）　アクセス：JR武生駅から車20分、武生ICから10分　電話番号：0778-27-7800（万葉菊花園）,,味真野
万葉館,越前市余川町55-1,35.885437,136.23768,博物館・美術館・資料館,,「万葉集のロマンと恋の歌」をコンセプトに作られた資料館。味真野とゆかりの深い万葉集の歌が展示され、古代のロマンに触れることができる。万葉集と味真野の関わりについて学べるほか、一般から公募した「恋のうた」の入選作品を展示。花かごを手にする照日の前を描いた上村松園の復刻画も展示されている。　駐車場：有（50台）　アクセス：JR武生駅から車で20分、武生ICから車で10分　営業時間：9:00～16:30　定休日：月曜日（祝日を除く）、祝日の翌日、年末年始　電話番号：0778-27-2204　入館料：無料,,味真野
五皇神社,越前市文室町35-2,35.870027,136.256101,神社・仏閣,,応神天皇から継体天皇の父彦主人王までの5代の御神霊を祀る神社。男大迹王（継体天皇）が学問所として開いたという伝説も残されている。「腹痛の神さん」と言われ、参詣する風習がある。毎年4月18日には奇祭「ほうき祭」が行われ、ほうきで石段や境内を掃き清めて参拝すると、腹痛が治るとも言い伝えられている。周辺は杉の産地であり、きれいに手入れされた杉木立が続き、ところどころに杉苗の畑も見られる。　駐車場：有（20台）　アクセス：JR武生駅から車で26分　電話番号：0778-27-1341,,味真野
旧谷口家住宅,越前市余川町,35.885214,136.238985,城（城址）・史跡,,19世紀前半に建てられた農家の住宅。当時の越前でよく見られた農家の住宅の典型で、角屋造りと呼ばれる形式のもの。味真野地区の西方にある横市町から、味真野苑に移築された。昭和52年に国の重要文化財に指定された。　駐車場：有（50台）　アクセス：JR武生駅から車で28分,,味真野
花筐公園,越前市粟田部町17-20,35.919933,136.236986,公園・広場,,"世阿弥の謡曲「花筐」の舞台として知られる。春には約1,000本の桜が咲き誇り、秋には紅葉も美しく、四季を十分に満喫することができる。イベント情報：4月上旬…花筐桜まつり、11月上旬…花筐もみじまつり　駐車場：有（20台）　アクセス：ＪR武生駅からバス20分「花筺公園口」下車　電話番号：0778-42-3710（花筐自治振興会）　ホームページ：http://office.kakyo-jichi.com/（花筐自治振興会）",,粟田部
越前和紙の里　紙の文化博物館,越前市新在家町11-12,35.910328,136.246171,産業・伝統工芸,,越前和紙の長い歴史を物語る古紙、古文書などの文献をはじめ、さまざまな貴重な資料が展示されており、越前和紙の発祥や歴史について学ぶことができる。また越前和紙を使った歴史的作品や、日本画などの美術品についても多数展示している。　駐車場：有（50台）　アクセス：JR武生駅から車で20分　営業時間：9:00～16:00　定休日：火曜日、年末年始　入館料：大人200円、小人100円（団体の場合　大人150円、小人50円）※卯立の工芸館との共通入館料　ホームページ：http://www.echizenwashi.jp/features/bunka.html,,岡本
越前和紙の里　卯立の工芸館,越前市新在家町9-21-2,35.911192,136.244818,産業・伝統工芸,,建物は江戸時代中期の紙漉き家屋を移築復元したもの。伝統工芸士が昔ながらの道具を使って和紙を漉く様子や、屋外での和紙天日干しなど、和紙が作られる一連の工程を見ることができる、全国でも唯一の場所となっている。1階は伝統工芸士の作業場と、様々なクラフトスペースにもなる土間・いろりのある和室があり、２階では和紙にまつわる様々な企画展が随時行われている。　駐車場：有（50台）　アクセス：JR武生駅から車で20分　営業時間：9:00～16:00　定休日：火曜日、年末年始　入館料：大人200円、小人100円（団体の場合　大人150円、小人50円）※紙の文化博物館との共通入館料　ホームページ：http://www.echizenwashi.jp/features/udatsu.html,,岡本
越前和紙の里　パピルス館,越前市新在家町8-44,35.911297,136.243307,産業・伝統工芸,,世界で一枚、自分だけのオリジナル和紙を作れる紙すき体験館。押し花を漉き込んだ和紙でうちわや灯りづくりも楽しめる。館内には、和紙製品の販売コーナーもあり、色鮮やかな美しい和紙や小物類などが数多く揃っている。　駐車場：有（30台）　アクセス：JR武生駅から車で20分　営業時間：9:00～16:00　定休日：年末年始　入館料：無料（体験有料）　ホームページ：http://www.echizenwashi.jp/features/papyrus.html,,岡本
高善寺,越前市北坂下町5-23,35.921864,136.269219,神社・仏閣,,佐々木小次郎の生家といわれる。永觀元年（983）覚勝阿闍梨（かくしょうあじゃり）を開基とする古刹で、今は浄土真宗の寺。歴代住職は宇多源氏の一族・佐々木四郎高綱の末裔と伝えられ、代々佐々木家を名乗っている。佐々木小次郎の家紋は高善寺の家紋と同じ角立四ッ目菱。　駐車場：有（大型バス10台駐車可能）　アクセス：JR武生駅から車で35分　電話番号：0778-42-1478,,服間
岡太神社(粟田部地区),越前市粟田部町19-13,35.919266,136.237658,神社・仏閣,,粟田部にある、継体天皇ゆかりのこの神社は花筐公園内にあり、鮮やかな朱色の鳥居が目印。毎年2月11日に行われる「蓬莱祀（おらいし）」は、継体天皇が樟葉宮（くずはのみや）で即位したことを祝うお祭り。　駐車場：有（10台）　アクセス：JR武生駅から車で22分,,粟田部
紙祖神岡太神社・大瀧神社,越前市大滝町23-10,35.906795,136.253231,神社・仏閣,,1500年程前この里に紙漉きの技を伝えた川上御前を全国で唯一の紙祖神として祀り、「延喜式神名帳」にも記載されている古社。大瀧神社は元は神仏習合の社(大瀧児権現）として建立され、明治時代に神仏分離令によって大瀧神社と改称された。里宮は、江戸時代後期の社殿建築の粋を集めて再建されたもので、昭和59年に国の重要文化財に指定された。　駐車場：有（20台）　アクセス：JR武生駅から車で23分、北陸自動車道武生ICより車で10分,,岡本
朽飯八幡神社(機織の神様),越前市朽飯町21-33,35.939352,136.260061,神社・仏閣,,顕宗天皇(485～487)の時に百済国努理使主の孫で阿久太の男の弥和をはじめ、機織の技術に長じた織姫たちが養蚕と機織の新しい技術を郷民に教え、生業として栄えたところから祭神として天万栲幡千比売命(たくさんの機織の神様)を祀ったといわれている。朽飯の地名は、命、管師、また、クダシは久太が志の略で継体天皇の妃倭媛（ヤマトヒメ）の子、久高の王の名であるとする説がある。　駐車場：無　アクセス：JR武生駅から車で33分,,服間
本保陣屋跡,越前市本保町,35.923989,136.1565,城（城址）・史跡,,武生中心部より約2.5kmの地点にある幕府の直轄地を統轄していた本保陣屋の跡。支配地は約6万石。江戸時代の越前市域には本多家が納める府中領をはじめ、幕府の直轄地や他藩の領地が複雑に入り交じっていた。　駐車場：有（3台）　アクセス：JR武生駅から車で12分,,吉野
大虫神社,越前市大虫町21-28,35.900894,136.126589,神社・仏閣,,伊勢神宮と同じくらい古い歴史を持つといわれている神社で、平安時代の「延喜式」に式内大社として記されている古社。平成8年に二千年祭が行われた。平安時代に作られた木造の男神坐像2躯は国の重要文化財に指定されている。神社西側には大岩神社（おいわさま）があり、ご神体は社殿の横の大きな岩。御手洗場に引かれた水は「石神の水」と呼ばれる湧き水で、昔は簡易水道の水源であったほどの清水。　駐車場：有　アクセス：JR武生駅から車で約11分　電話番号：0778-22-5041,,大虫
日野神社,越前市中平吹町80-1-1,35.864361,136.187755,神社・仏閣,,越前富士とも呼ばれ、古くから信仰の山であった日野山の登山口にある神社。「継体大王が当国に潜龍し給いし時、二人の皇子(後の安閑天皇、宣化天皇)を伴って登山され、朝日を拝まれて、その鮮やかなことに感じ入られ、此処こそ朝日を拝すべき山であると仰せられた」と伝承され祀られている。絵馬殿では、寛文5年（1665）に奉納された日本最古の「四季耕作図」の絵馬を見ることが出来る。　アクセス：JR武生駅から車で約22分　電話番号：0778-21-2335,,王子保
大塩八幡宮,越前市国兼町22-2,35.849304,136.171117,神社・仏閣,,仁和3年（887）に越前に流された中納言紀友仲（きのともなか）が、無実の罪を許され都へ帰ることができたときに感謝して建てたのが由来で、朝倉氏はじめ武将の崇敬が厚かったと言われている。御祭神は、誉田別天皇（応神天皇）、帯中日子天皇（仲哀天皇）、息長帯比売命（神功皇后）。杉や檜の木立の中、階段を上っていくと国の重要文化財となっている拝殿が見え、苔が美しい静寂な空間が広がる。　駐車場：有（50台、集落センターと共有）　アクセス：武生ICから車で14分,,王子保
旧武生製紙所,越前市北府二丁目8-12,35.910875,136.167886,街並み・旧街道,,明治39年に建築された旧武生製紙所の長屋門は県内最大級で、当初は従業員の寄宿舎として利用されていた。同じく同年に建築された旧武生製紙所事務所は、寄棟造りの洋風建築で正面の瓦は当事の名工作の貴重なもの。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩約13分　電話番号：0778-22-0760,,東
丈生幼稚園,越前市京町三丁目3-5,35.904227,136.162644,街並み・旧街道,,明治32年頃福井市に建築された福井県警察部庁舎を、大正13年に移築改修し幼稚園として活用。和風と洋風が混在した明治後期の建築。当時としては斬新なデザインの園舎である。登録文化財登録。　駐車場：有（50台）　アクセス：JR武生駅から徒歩約13分　電話番号：0778-22-0625　ホームページ：https://www.jousei-kindergarten.com,,西
旧井上歯科医院,越前市京町三丁目1-35,35.904009,136.163908,街並み・旧街道,,明治41年に建てられた木造2階建ての洋風建築。外壁全面を石積に似せたモルタル塗りで仕上げており、防火性能を重視した建物。当時の左官技術をいかんなく発揮している。登録文化財登録。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩約9分　電話番号：0778-22-0104,,西
熊川邸,越前市深草一丁目5-24,35.9028,136.160545,街並み・旧街道,,通りに面して左右に蔵を持つ長屋門の構成は、伝統的な住宅の整った構えを見せている。良く手入れされた白漆喰と黒の目板嵌の板壁のコントラストも美しい。また母屋も質の高い昭和初期の、木造住宅である。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩約15分　電話番号：0778-22-0147,,西
旧武生郵便局,越前市蓬莱町3-6,35.902719,136.166517,街並み・旧街道,,大正3年に新築され、昭和4年に新局舎が新築されるまでの約15年間武生郵便局として使用された。平成11年に復元的改修工事がなされた。近年少なくなった下見板張り洋風建築。屋根の降り棟鬼瓦に「〒」マークがある。登録文化財登録。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩約5分　電話番号：0778-21-2988,,東
大塚呉服店,越前市蓬莱町3-12,35.902165,136.166466,街並み・旧街道,,町屋では蔵を背後に持つ構成が多いが、この呉服店は主屋の左に蔵を配置している。平入の主屋は起くり（上に凸）のある屋根を持った重厚な構えであるが、随所に細かな気配りを持っている。２階の窓の採光にも配慮した大きな看板も見逃せない。　駐車場：有（2台）　アクセス：JR武生駅から徒歩約6分　電話番号：0778-22-0010,,東
府中町屋倶楽部,越前市蓬莱町5-10,35.902049,136.165977,街並み・旧街道,,"薬屋、産婦人科医院として使われていた建物を、地元市民団体「府中町屋倶楽部」が借り受け、自らの手で整備再生した。漆喰の外壁から張り出す袖卯建も甦り、館内にはレトロな薬の看板も配置されている。1回2,000円での利用もできる。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩約8分　電話番号：0778-22-0131",,東
MODE大井ビル,越前市元町1-23,35.901481,136.165564,街並み・旧街道,,東京の三越百貨店を夢に現館長の祖父が、大正末期よりプランを練り建築した。鉄筋コンクリート陸屋根造り三階建で、古典主義を取り入れた近代建築。耐震性は当時の建物としては北陸でも群を抜いており、開店当時は、大井デパートとして武生の名物店として盛況を博した。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩約8分　電話番号：0778-22-0210,,西
南越履物,越前市蓬莱町7-2,35.902268,136.168348,街並み・旧街道,,明治45年に建築された2階建を、昭和5年頃に添え柱を付加して3階を増築し、さらに間口幅いっぱいの大きな妻を東側の屋根上に増築した数少ない木造3階建の建物。戦時中は3階を軍事工場の寄宿舎として貸していた。登録文化財登録。　駐車場：無（まちなか駐車場をご利用下さい）　アクセス：JR武生駅から徒歩約3分　電話番号：0778-22-0647,,東
武生公会堂記念館,越前市蓬莱町8-8,35.901804,136.16833,博物館・美術館・資料館,,昭和天皇即位の御大礼記念行事として昭和4年に完成した。当時の新しい幾何学模様のデザインで建てられ建設費は全て武生町民の寄付で賄われている。用途変更に伴い、内部では1階ホールと2階の貴賓室に新築時の姿を留めている。現在は、郷土の歴史、芸術、民俗等に関する資料を収集、保管、展示する博物館として活用されている。登録文化財登録。　駐車場：有（10台）　アクセス：JR武生駅から徒歩約4分　営業時間：10:00～18:00（入館は17:30まで）　定休日：月曜日（祝日を除く）、祝日の翌日（土曜日・日曜日を除く）、年末年始　電話番号：0778-21-3900,,東
キリン刃物博物館,越前市あおば町2-25,35.897083,136.166375,街並み・旧街道,,越前市の伝統産業である越前打刃物の代表的な問屋。鍛治技術を受け継いだ鍛治屋が多くあるなかで、鍛治から製造卸まで一貫して営業する体制に変え、今日のスタイルの原形ができた。約50年前に小学生が描いた鍛治屋の風景画や、世界各地の麒麟（想像上の動物）の写真など興味深い。麒麟のマークはキリンビールの創業より古い。　駐車場：有　アクセス：JR武生駅から徒歩約13分　電話番号：0778-21-3854,,南
「ちひろの生まれた家」記念館,越前市天王町4-14,35.899907,136.166927,博物館・美術館・資料館,,絵本画家いわさきちひろは、この家の離れで生まれた。ちひろの母文江が住んでいた当時を伝える板壁や箱階段等大正時代を復元するため、慎重に改修を行い、町屋風の記念館として再現した。大正時代のおもかげを残した建物内部とちひろの絵本・絵画など、当時の文化・生活を知る上で貴重な資料である。絵本の展示や企画展も随時開催している。　駐車場：有（3台）　アクセス：JR武生駅から徒歩約10分　営業時間：10：00～16:00　定休日：火曜日（祝日の場合は翌日）、年末年始　電話番号：0778-66-7112　ホームページ：http://chihironoie.jp,,東
