https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#institution,https://code4fukui.github.io/rdf/#capacity,https://schema.org/telephone,https://schema.org/opens,https://code4fukui.github.io/rdf/#acceptage,https://code4fukui.github.io/rdf/#temporary_custody,https://code4fukui.github.io/rdf/#holiday_childcare,https://code4fukui.github.io/rdf/#disability_childcare,https://code4fukui.github.io/rdf/#foreign_childcare
安養寺こども園,越前市安養寺町89-29-1,子ども福祉課,福祉,こども園,保育事業,35.9120281,136.0776142,白山,社会福祉法人,50,0778-28-1741,7:30～18:30,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
わかたけ認定こども園,越前市高森町18-7-2,子ども福祉課,福祉,こども園,保育事業,35.9057254,136.1459989,大虫,社会福祉法人,200,0778-22-6203,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
そよかぜ保育園,越前市高木町12-7-1,子ども福祉課,福祉,保育園,保育事業,35.9282074,136.1904939,国高,社会福祉法人,150,0778-24-0340,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
南保育園,越前市若竹町12-23,子ども福祉課,福祉,保育園,保育事業,35.893122,136.1671582,南,社会福祉法人,90,0778-22-3214,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定東こども園,越前市堀川町3-14,子ども福祉課,福祉,こども園,保育事業,35.900437,136.172702,東,社会福祉法人,100,0778-22-6637,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定西こども園,越前市新保町32-10,子ども福祉課,福祉,こども園,保育事業,35.9072809,136.1517593,西,社会福祉法人,120,0778-22-7151,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
国高保育園,越前市村国一丁目9-8,子ども福祉課,福祉,保育園,保育事業,35.9070625,136.1829981,国高,社会福祉法人,150,0778-23-0983,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
高瀬保育園,越前市文京二丁目4-3,子ども福祉課,福祉,保育園,保育事業,35.8946383,136.1611365,南,社会福祉法人,130,0778-23-5203,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
愛星保育園,越前市白崎町33-2-1,子ども福祉課,福祉,保育園,保育事業,35.8642723,136.1469667,王子保,社会福祉法人,160,0778-24-4450,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
たんぽぽ保育園,越前市常久町101,子ども福祉課,福祉,保育園,保育事業,35.885455,136.162176,南,社会福祉法人,110,0778-24-4460,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
味真野保育園,越前市上大坪町28-3,子ども福祉課,福祉,こども園,保育事業,35.8859107,136.2267871,味真野,社会福祉法人,110,0778-27-2203,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,×
神山認定こども園,越前市広瀬町132-3-1,子ども福祉課,福祉,こども園,保育事業,35.8897551,136.1421332,神山,社会福祉法人,165,0778-23-8688,7:00～18:00,2か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定こども園あわたべ,越前市粟田部町46-2,子ども福祉課,福祉,こども園,保育事業,35.9133547,136.2405742,粟田部,社会福祉法人,165,0778-42-0493,7:00～18:00,2か月以上,実施あるいは実施可,実施あるいは実施可,実施あるいは実施可,実施あるいは実施可
認定こども園里山ほのか学園,越前市氷坂町14-2-1,子ども福祉課,福祉,こども園,保育事業,35.924491,136.149662,吉野,社会福祉法人,150,0778-23-0030,7:30～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
